player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Herve Lamizana,SF-PF,-,-,-,-,-,-,2004-05
Sergei Lishouk,PF-SF,-,-,-,-,-,-,2004-05
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30.0,-,2004-05
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6,2004-05
Bryant Matthews,SF-SG,11.08,-,3.13,29.0,34.5,13,2004-05
Marcus Melvin,SF-PF,11.81,-,3.33,25.0,30.5,11,2004-05
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8,2004-05
Ricky Minard,PG-SG,10.94,-,3.10,27.5,33.0,13,2004-05
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-,2004-05
Marcus Moore,PG-SG,11.31,-,3.34,25.0,30.0,-,2004-05
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16,2004-05
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15,2004-05
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11,2004-05
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34.0,22,2004-05
Randall Orr,PF-SF,11.18,-,3.27,26.5,33.0,6,2004-05
Dylan Page,SF,10.99,-,3.40,26.0,30.0,17,2004-05
Drago Pasalic,PF,12.97,-,3.56,25.5,30.0,8,2004-05
Rickey Paulding,SG,11.14,-,3.17,30.0,36.0,17,2004-05
Kelvin Pena,SG-PG,11.50,-,3.24,27.5,32.5,1,2004-05
Tim Pickett,PG-SG,-,-,-,-,-,-,2004-05
Omar Quintero,PG,11.37,-,3.25,25.0,29.0,2,2004-05
Peter Ramos,C,12.61,-,3.60,24.0,26.5,2,2004-05
Jared Reiner,C-PF,12.65,-,3.56,22.0,26.0,15,2004-05
Lawrence Roberts,PF,12.52,-,3.30,27.5,33.0,18,2004-05
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14,2004-05
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13,2004-05
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9,2004-05
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8,2004-05
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8,2004-05
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12,2004-05
J.R. Smith,SG-SF,10.93,-,3.21,29.0,35.5,5,2004-05
Kirk Snyder,SG-SF,10.79,-,3.13,30.0,35.0,19,2004-05
Pape Sow,PF-C,12.13,-,3.27,28.0,31.5,18,2004-05
Tiago Splitter,C-PF,11.65,-,3.38,26.0,31.5,8,2004-05
Blake Stepp,PG,-,-,-,-,-,-,2004-05
Tom Timmerrmans,PF-C,13.13,-,3.63,23.0,26.5,15,2004-05
Marko Tomas,SG-PG,11.80,-,3.23,32.0,31.5,-,2004-05
Beno Udrih,PG,-,-,-,-,-,2,2004-05
Jackson Vroman,PF-C,10.75,-,3.25,29.5,33.5,12,2004-05
Delonte West,PG-SG,11.20,-,3.15,30.0,35.0,12,2004-05
Damien Wilkins,SG-SF,11.92,-,3.15,26.5,31.0,15,2004-05
Mike Williams,SF,11.59,-,3.42,23.5,27.5,-,2004-05
Nate Williams,PF-SF,12.60,-,3.35,23.5,26.0,1,2004-05
Rashad Wright,PG,11.15,-,3.28,28.5,32.5,10,2004-05
Alex Acker,SG,11.67,-,3.35,28.0,32.0,11,2005-06
Deji Akindele,C-PF,12.58,-,3.35,30.5,32.5,13,2005-06
Mustafa Al-Sayyad,PF-C,11.56,-,3.42,26.5,30.5,-,2005-06
Nemanja Aleksandrov,PF-SF,-,-,-,-,-,5,2005-06
Alan Anderson,SG-SF,10.32,-,3.27,26.5,30.5,10,2005-06
Martynas Andriuskevicius,C-PF,11.94,-,3.42,24.0,27.5,-,2005-06
Sean Banks,SF,11.74,-,3.35,25.0,31.5,7,2005-06
Eddie Basden,SG-SF,10.52,-,3.21,33.0,36.5,14,2005-06
Mike Bell,SF-PF,11.73,-,3.29,33.5,39.5,13,2005-06
Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13,2005-06
Dee Brown,PG-SG,-,-,-,-,-,-,2005-06
Will Bynum,PG-SG,11.12,-,3.00,33.0,40.5,15,2005-06
Marcus Campbell,C,-,-,-,-,-,9,2005-06
Will Conroy,PG,10.51,-,3.28,30.5,36.5,14,2005-06
Taylor Coppenrath,PF-SF,11.51,-,3.44,24.5,27.0,5,2005-06
Travis Diener,PG-SG,10.85,-,3.26,24.5,31.0,1,2005-06
Ike Diogu,PF,11.94,-,3.45,28.0,31.0,21,2005-06
Daryl Dorsey,PG,11.41,-,3.24,25.0,30.5,-,2005-06
Monta Ellis,SG-PG,12.13,-,3.31,26.5,31.5,-,2005-06
Raymond Felton,PG,10.50,-,3.06,29.0,33.5,6,2005-06
Rudy Fernandez,SG,10.48,-,3.33,26.5,35.5,-,2005-06
D'Or Fischer,C-PF,12.53,-,3.50,28.0,30.5,2,2005-06
Eddy Fobbs,C-PF,11.53,-,3.28,29.5,34.0,12,2005-06
Sharrod Ford,PF,11.92,-,3.20,28.5,37.0,9,2005-06
Channing Frye,PF-C,11.60,-,3.38,27.5,31.0,19,2005-06
Deng Gai,PF-C,12.51,-,3.27,31.5,35.5,11,2005-06
Francisco Garcia,SF-SG,10.63,-,3.33,27.5,31.5,5,2005-06
John Gilchrist,PG,11.48,-,3.15,30.5,36.5,12,2005-06
Marcin Gortat,PF-C,11.48,-,3.33,29.5,36.0,18,2005-06
Joey Graham,SF,10.62,-,3.05,30.0,36.0,26,2005-06
Danny Granger,,10.84,-,3.34,31.0,34.0,10,2005-06
Gerald Green,SF,11.20,-,3.21,31.5,39.0,7,2005-06
Charles Hayes,SF-PF,10.70,-,3.34,30.0,33.0,20,2005-06
Luther Head,PG-SG,11.12,-,3.21,31.5,38.5,14,2005-06
Julius Hodge,SG-SF,10.89,-,3.18,24.5,29.0,14,2005-06
Jared Homan,C-PF,-,-,-,-,-,16,2005-06
Ersan Ilyasova,SF,11.59,-,3.56,22.0,30.0,2,2005-06
Jarrett Jack,PG,10.87,-,3.24,26.0,28.5,5,2005-06
Dwayne Jones,C-PF,11.87,-,3.25,28.0,31.5,15,2005-06
Mindaugas Katelynas,SF-PF,11.60,-,3.38,31.5,35.0,7,2005-06
Jason Klotz,C-PF,13.13,-,3.68,21.5,27.0,12,2005-06
Carl Krauser,PG-SG,11.62,-,3.38,26.0,31.0,8,2005-06
Keith Langford,SG-SF,11.38,-,3.23,32.0,29.5,8,2005-06
David Lee,PF,10.80,-,3.19,30.5,32.5,14,2005-06
David Lucas,PF,-,-,-,-,-,17,2005-06
John Lucas III,PG,10.44,-,3.14,29.0,34.0,4,2005-06
Rawle Marshall,SG-SF,11.64,-,3.21,30.5,37.0,7,2005-06
Jason Maxiell,PF,-,-,-,-,-,-,2005-06
Sean May,PF,11.04,-,3.29,30.0,33.0,12,2005-06
Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15,2005-06
Ivan McFarlin,PF,10.64,-,3.27,26.5,32.0,10,2005-06
Juan Mendez,PF-SF,11.70,-,3.24,29.0,33.0,14,2005-06
Aaron Miles,PG,10.69,-,3.22,32.0,37.5,7,2005-06
Ellis Myles,PF,12.80,-,3.42,26.0,28.5,15,2005-06
Larry O'Bannon,SG,11.44,-,3.18,31.5,36.5,17,2005-06
Drago Pasalic,SF-PF,12.12,-,3.48,25.0,30.5,11,2005-06
Chris Paul,PG,11.09,-,3.22,32.0,38.0,10,2005-06
Kevin Pittsnogle,PF,-,-,-,-,-,-,2005-06
Carlos Powell,SF-PF,11.54,-,3.21,27.5,34.5,12,2005-06
Roger Powell,SF,-,-,-,-,-,-,2005-06
Ronnie Price,PG,10.49,-,3.29,31.5,39.0,11,2005-06
Anthony Roberson,PG,11.17,-,3.19,31.5,37.0,14,2005-06
Brandon Rush,SG-SF,11.33,-,3.31,32.5,35.0,-,2005-06
Luke Schenscher,C,12.40,-,3.47,23.5,26.5,1,2005-06
Wayne Simien,PF,11.05,-,3.35,27.0,27.5,11,2005-06
Tre Simmons,SG-SF,10.80,-,3.18,27.0,31.5,3,2005-06
David Simon,C-PF,11.98,-,3.44,28.0,33.0,18,2005-06
Chris Taft,PF,11.26,-,3.27,28.5,33.0,14,2005-06
Chris Thomas,PG,10.84,-,3.33,28.5,34.0,14,2005-06
Omar Thomas,SF-SG,11.11,-,3.27,25.0,29.5,6,2005-06
Dijon Thompson,SF-SG,-,-,-,-,-,-,2005-06
Ronny Turiaf,PF,11.50,-,3.23,30.5,33.0,15,2005-06
Charlie Villanueva,PF-SF,10.86,-,3.30,26.0,31.0,11,2005-06
Hakim Warrick,PF-SF,-,-,3.22,33.0,38.0,11,2005-06
Martell Webster,SF,11.39,-,3.39,28.0,30.5,7,2005-06
Robert Whaley,PF-C,12.11,-,3.25,28.5,33.5,15,2005-06
Marvin Williams,PF-SF,11.11,-,3.17,29.5,35.0,12,2005-06
Deron Williams,PG,10.83,-,3.25,30.0,35.0,15,2005-06
Jawad Williams,SF,11.39,-,3.23,28.0,34.0,15,2005-06
Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12,2005-06
Bracey Wright,SG-PG,11.58,-,3.27,30.0,36.0,8,2005-06
Kenny Adeleke,PF-C,11.57,-,3.47,28.5,30.5,26,2006-07
Maurice Ager,SG-PG,11.73,-,3.22,29.5,35.0,11,2006-07
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34.0,8,2006-07
Morris Almond,SG-SF,11.45,-,3.19,31.0,35.5,13,2006-07
Lou Amundson,PF,10.58,-,3.20,32.0,35.5,14,2006-07
Rashad Anderson,SG,11.77,-,3.48,27.5,32.5,13,2006-07
Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13,2006-07
James Augustine,PF,10.54,-,3.25,30.0,32.5,13,2006-07
Renaldo Balkman,SF-PF,11.58,-,3.22,30.5,35.0,9,2006-07
J.P. Batista,PF,11.62,-,3.38,26.0,30.5,26,2006-07
Will Blalock,PG,11.08,-,3.18,35.0,40.0,8,2006-07
Brandon Bowman,SF,11.41,-,3.31,31.0,34.0,24,2006-07
Ronnie Brewer,SG-PG,11.32,-,3.14,35.0,41.0,19,2006-07
Denham Brown,SG-SF,11.42,-,3.25,28.0,34.5,12,2006-07
Brad Buckman,PF,12.26,-,3.54,25.5,30.5,10,2006-07
Nik Caner-Medley,SF,10.57,-,3.21,28.5,35.5,17,2006-07
Rodney Carney,SG-SF,10.57,-,3.06,32.0,38.5,10,2006-07
Keydren Clark,PG,11.03,-,3.11,31.0,34.0,13,2006-07
Mardy Collins,PG-SG,12.00,-,3.27,31.5,37.5,9,2006-07
Taquan Dean,SG-PG,10.53,-,3.20,30.5,34.5,16,2006-07
Terence Dials,PF-C,11.54,-,3.50,26.5,30.0,16,2006-07
Sean Dockery,PG-SG,10.88,-,3.34,29.0,33.0,4,2006-07
Jordan Farmar,PG,11.07,-,3.17,33.5,42.0,11,2006-07
Randy Foye,SG-PG,10.53,-,3.23,32.0,38.0,14,2006-07
Torin Francis,PF-C,11.97,-,3.51,26.5,32.0,9,2006-07
Rudy Gay,SF-PF,11.03,-,3.32,33.0,40.5,9,2006-07
Nick George,SF-SG,11.69,-,3.25,30.5,38.0,14,2006-07
Taj Gray,PF-SF,11.02,-,3.45,28.5,33.0,10,2006-07
Dan Grunfeld,SF-SG,11.30,-,3.46,28.0,33.5,16,2006-07
Matt Haryasz,PF-C,11.34,-,3.46,27.5,31.5,10,2006-07
Eric Hicks,PF,12.06,-,3.34,30.0,34.0,20,2006-07
Tedric Hill,SF-PF,12.23,-,3.24,30.0,36.5,1,2006-07
Daniel Horton,PG-SG,10.35,-,3.16,30.0,36.5,17,2006-07
Bobby Jones,SF-SG,11.23,-,3.28,28.5,34.5,15,2006-07
Solomon Jones,PF-C,11.27,-,3.30,32.0,39.0,6,2006-07
Viktor Keyru,SG-PG,11.40,-,3.24,29.0,34.5,11,2006-07
Marco Killingsworth,PF,11.42,-,3.34,28.0,32.0,13,2006-07
Tarence Kinsey,SF-SG,10.67,-,3.30,29.0,35.5,5,2006-07
Carl Krauser,PG,11.62,-,3.38,26.0,31.0,8,2006-07
Chris McCray,SG,11.46,-,3.34,30.5,39.0,1,2006-07
Gerry McNamara,PG-SG,11.28,-,3.40,27.0,32.0,3,2006-07
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.5,36.0,19,2006-07
Paul Miller,PF-C,12.25,-,3.66,29.0,35.5,25,2006-07
Paul Millsap,PF,11.67,-,3.30,28.5,32.5,15,2006-07
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.5,41.5,17,2006-07
Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11,2006-07
Yemi Nicholson,PF-C,12.57,-,3.65,26.5,26.0,8,2006-07
David Noel,SF-SG,10.54,-,3.07,34.5,38.5,20,2006-07
Steve Novak,SF,11.11,-,3.37,24.5,31.0,5,2006-07
Patrick O'Bryant,C,12.68,-,3.63,26.5,30.0,13,2006-07
Danilo Pinnock,PG-SG,11.91,-,3.08,29.5,35.5,7,2006-07
Chris Quinn,PG-SG,11.25,-,3.25,32.0,37.0,7,2006-07
Allan Ray,SG,11.01,-,3.20,28.5,35.5,9,2006-07
JJ Redick,SG,10.94,-,3.29,27.5,33.0,6,2006-07
Antywane Robinson,SF-PF,11.73,-,3.40,29.0,32.5,12,2006-07
Brandon Roy,SG-SF,11.13,-,3.27,34.0,40.5,6,2006-07
Blake Schilb,PG-SG,11.25,-,3.43,28.5,34.5,13,2006-07
Mouhamed Sene,C,12.52,-,3.38,28.5,31.0,7,2006-07
Cedric Simmons,PF-C,11.05,-,3.31,30.5,35.0,15,2006-07
Marcus Slaughter,PF-SF,11.56,-,3.40,30.0,34.0,9,2006-07
Craig Smith,PF,11.59,-,3.40,30.0,29.5,-,2006-07
Steven Smith,SF-PF,12.08,-,3.40,29.5,34.5,15,2006-07
Michael Southhall,C,12.29,-,3.51,31.5,37.0,2,2006-07
Frans Steyn,C,11.67,-,3.38,28.5,29.5,-,2006-07
Curtis Stinson,SG,10.95,-,3.27,28.0,31.5,17,2006-07
Tyrus Thomas,PF-SF,11.36,-,3.20,34.0,39.5,8,2006-07
Joah Tucker,SF-SG,11.58,-,3.31,29.0,34.0,19,2006-07
Ian Vouyoukas,C-PF,13.70,-,3.72,23.0,28.0,8,2006-07
Darius Washington,PG,10.71,-,3.26,29.0,37.5,9,2006-07
CJ Watson,PG,11.61,-,3.15,31.5,34.0,12,2006-07
Marcus Williams,PG,11.30,-,3.40,24.5,28.0,4,2006-07
Shawne Williams,SF-PF,10.69,-,3.30,32.0,31.0,-,2006-07
Justin Williams,C-PF,11.90,-,3.31,26.5,31.5,7,2006-07
Shelden Williams,PF-C,11.53,-,3.59,29.0,33.5,25,2006-07
Eric Williams,C-PF,11.71,-,3.56,28.5,29.0,17,2006-07
Curtis Withers,PF-SF,11.54,-,3.10,35.0,36.5,14,2006-07
Mohamed Abukar,SF,11.78,-,3.37,30.5,35.0,15,2007-08
Mario Boggan,PF,12.18,-,3.45,24.0,26.5,12,2007-08
Craig Bradshaw,PF,11.88,-,3.54,26.0,28.0,12,2007-08
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11,2007-08
Aaron Brooks,PG,10.57,-,3.20,32.5,39.5,6,2007-08
Bobby Brown,PG,11.27,-,3.25,32.5,41.0,3,2007-08
Russell Carter,SG,11.61,-,3.29,33.0,38.5,25,2007-08
Coleman Collins,PF,11.47,-,-,30.0,35.0,21,2007-08
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13,2007-08
Daequan Cook,SG,11.12,-,3.22,30.0,34.5,4,2007-08
Ryvon Covile,C-PF,12.52,-,3.37,25.0,30.5,19,2007-08
Javaris Crittenton,PG,11.60,-,3.32,32.5,38.0,11,2007-08
Jermareo Davidson,PF,12.63,-,3.53,27.0,30.0,7,2007-08
Justin Doellman,PF,-,-,-,-,-,19,2007-08
Zabian Dowdell,PG,11.13,-,3.29,30.0,33.5,3,2007-08
Jared Dudley,SF,11.32,-,3.45,28.0,32.0,14,2007-08
Kevin Durant,SF-PF,12.33,-,3.45,26.0,33.5,-,2007-08
Rashaun Freeman,PF,11.43,-,3.41,28.0,32.0,20,2007-08
Aaron Gray,C,12.07,-,3.70,27.0,32.5,17,2007-08
Caleb Green,PF,11.72,-,3.46,28.5,36.0,9,2007-08
Jeff Green,SF,12.00,-,3.34,33.5,38.0,17,2007-08
Taurean Green,PG,11.30,-,3.26,29.0,32.5,8,2007-08
Spencer Hawes,PF,11.88,-,3.51,26.0,29.0,9,2007-08
Brandon Heath,PG,11.39,-,3.28,32.0,36.0,11,2007-08
Herbert Hill,C,12.31,-,3.39,30.5,34.0,15,2007-08
Al Horford,PF,12.15,-,3.37,31.0,35.5,20,2007-08
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34.0,12,2007-08
James Hughes,C,13.31,-,3.37,31.0,33.0,8,2007-08
Jeremy Hunt,SG,12.11,-,3.29,30.5,33.0,10,2007-08
Ekene Ibekwe,PF,11.00,-,3.28,34.5,39.0,10,2007-08
Dominic James,PG,10.94,-,3.11,33.5,38.5,14,2007-08
Trey Johnson,SG,11.78,-,3.31,26.5,35.0,18,2007-08
Rashad Jones-Jennings,PF,12.18,-,3.29,25.0,30.0,20,2007-08
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6,2007-08
Coby Karl,SG-PG,11.57,-,3.41,32.0,34.5,9,2007-08
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30.0,19,2007-08
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21,2007-08
Stephane Lasme,PF,11.73,-,3.22,29.5,36.0,17,2007-08
Acie Law,PG,11.00,-,3.22,29.0,34.0,8,2007-08
Marko Lekic,C,11.96,-,3.43,24.0,30.5,19,2007-08
Ron Lewis,SG,11.59,-,3.22,33.0,38.0,16,2007-08
Cartier Martin,SF,12.10,-,3.43,27.0,29.5,11,2007-08
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12,2007-08
Josh McRoberts,PF,11.70,-,3.47,27.5,31.5,12,2007-08
Sammy Mejia,SG,11.87,-,3.49,27.0,31.5,7,2007-08
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3,2007-08
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16,2007-08
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12,2007-08
Greg Oden,C,11.67,-,3.27,32.0,34.0,-,2007-08
Ivan Radenovic,PF,11.61,-,3.60,23.0,28.0,7,2007-08
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15,2007-08
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15,2007-08
Dustin Salisbery,SG,11.07,-,3.12,34.0,38.0,11,2007-08
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11,2007-08
Renaldas Seibutis,SG,11.33,-,3.39,24.0,32.5,1,2007-08
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8,2007-08
Mustafa Shakur,PG,11.82,-,3.27,28.5,35.0,11,2007-08
Jason Smith,PF,10.96,-,3.29,33.5,37.5,15,2007-08
DJ Strawberry,SG,10.87,-,3.14,28.5,35.0,21,2007-08
Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35.0,14,2007-08
Curtis Sumpter,SF,11.30,-,3.22,27.5,32.5,12,2007-08
Yue Sun,SF,10.68,-,3.45,29.0,34.0,9,2007-08
Jamaal Tatum,PG,11.51,-,3.22,28.5,33.0,7,2007-08
Reyshawn Terry,SF,11.76,-,3.26,31.0,37.5,18,2007-08
Al Thornton,SF,11.96,-,3.16,35.0,41.0,9,2007-08
Anthony Tolliver,PF,11.49,-,3.29,28.5,30.0,21,2007-08
Ali Traore,C-PF,12.16,-,3.52,25.0,29.0,11,2007-08
Kyle Visser,C,12.60,-,3.39,26.0,29.0,18,2007-08
Darryl Watkins,C,11.65,-,3.56,26.5,31.0,14,2007-08
Major Wingate,C,12.14,-,3.47,27.5,30.5,15,2007-08
DaShaun Wood,PG,11.40,-,3.23,31.5,34.5,13,2007-08
Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2,2007-08
Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2,2007-08
Avis Wyatt,PF,11.46,-,3.23,27.5,32.0,12,2007-08
Jianlian Yi,,-,-,-,-,-,-,2007-08
Nick Young,SG-SF,11.00,-,3.25,39.5,40.5,6,2007-08
Thaddeus Young,SF,11.06,-,3.19,34.5,37.0,13,2007-08
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24,2008-09
Darrell Arthur,PF,12.18,-,3.14,28.5,30.0,12,2008-09
D.J. Augustin,PG,11.27,-,3.07,28.5,35.0,2,2008-09
Jerryd Bayless,PG-SG,11.26,-,3.07,31.0,38.0,10,2008-09
Michael Beasley,PF-SF,11.06,-,3.24,30.0,35.0,19,2008-09
Ramel Bradley,PG-SG,10.68,-,3.24,24.5,29.5,9,2008-09
Tyrone Brazelton,PG,11.59,-,3.25,30.0,34.0,8,2008-09
Takais Brown,PF,12.47,-,3.25,29.0,31.0,22,2008-09
Keith Brumbaugh,SF-PF,11.65,-,3.28,26.0,27.0,2,2008-09
Stanley Burrell,PG,11.19,-,3.19,29.5,34.5,21,2008-09
Brian Butch,C-PF,11.87,-,3.52,24.0,26.5,9,2008-09
Jamar Butler,PG,-,-,-,-,-,15,2008-09
Pat Calathes,SF-PF,-,-,-,-,-,7,2008-09
Joe Crawford,SG,11.67,-,3.22,31.0,36.0,13,2008-09
Chris Daniels,C-PF,12.72,-,3.56,26.0,28.5,11,2008-09
Joey Dorsey,PF-C,11.84,-,3.20,27.5,33.0,19,2008-09
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10,2008-09
Josh Duncan,PF,12.47,-,3.26,28.0,32.0,26,2008-09
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11,2008-09
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35.0,42.0,2,2008-09
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13,2008-09
Shan Foster,SG,12.30,-,3.24,30.0,33.0,10,2008-09
J.R. Giddens,SG,-,-,-,-,-,10,2008-09
James Gist,PF,11.37,-,3.14,30.5,35.0,5,2008-09
Vladimir Golubovic,C,12.40,-,3.33,21.5,27.0,15,2008-09
Eric Gordon,SG,10.81,-,3.01,32.0,40.0,15,2008-09
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18,2008-09
Donte Greene,SF-PF,11.21,-,3.20,27.5,31.5,2,2008-09
Malik Hairston,SG,11.33,-,3.08,30.5,38.0,13,2008-09
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32.0,20,2008-09
Richard Hendrix,PF,10.62,-,3.27,26.5,28.0,13,2008-09
George Hill,PG,12.20,-,3.07,34.0,37.5,9,2008-09
Kyle Hines,SF-PF,12.17,-,3.40,28.5,33.0,16,2008-09
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26.0,2,2008-09
Lester Hudson,PG,11.15,-,3.16,30.5,36.0,12,2008-09
Othello Hunter,PF-SF,11.51,-,3.18,28.0,34.5,7,2008-09
Darnell Jackson,PF,11.75,-,3.26,27.0,31.0,11,2008-09
Shawn James,PF,-,-,-,-,-,6,2008-09
Davon Jefferson,SF,12.02,-,3.36,27.0,32.0,2,2008-09
Joseph Jones,PF,11.61,-,3.33,25.5,31.0,16,2008-09
DeAndre Jordan,C,12.30,-,3.27,26.0,30.5,8,2008-09
Sasha Kaun,C-PF,12.06,-,3.20,29.0,32.0,13,2008-09
Marcelus Kemp,SG,11.79,-,3.39,26.0,30.0,9,2008-09
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14,2008-09
Longar Longar,C,-,-,-,-,-,14,2008-09
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7,2008-09
Kevin Love,PF,11.17,-,3.22,29.5,35.0,18,2008-09
Aleks Maric,C,11.76,-,3.35,23.0,28.0,15,2008-09
O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41.0,7,2008-09
James Mays,PF,11.23,-,3.19,29.5,35.0,13,2008-09
Luc Mbah a Moute,SF,11.71,-,3.17,32.0,38.5,11,2008-09
JaVale McGee,C-PF,12.75,-,3.25,27.0,32.5,7,2008-09
Drew Neitzel,PG,11.19,-,3.20,25.5,32.0,10,2008-09
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19,2008-09
David Padgett,C-PF,12.45,-,3.45,24.0,28.0,17,2008-09
Jeremy Pargo,PG,10.65,-,3.07,32.0,37.0,7,2008-09
Trent Plaisted,PF,11.32,-,3.17,30.5,35.5,14,2008-09
Quan Prowell,SF-PF,11.79,-,3.14,32.0,36.0,16,2008-09
Shaun Pruitt,C-PF,11.30,-,3.40,27.0,32.5,10,2008-09
Anthony Randolph,PF-SF,11.86,-,3.26,29.0,35.0,7,2008-09
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14,2008-09
John Riek,C,-,-,-,-,-,-,2008-09
