player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10,2008-09
Russell Robinson,PG,11.30,-,3.15,25.0,31.5,8,2008-09
Richard Roby,SG-SF,-,-,-,-,-,-,2008-09
Derrick Rose,PG,11.69,-,3.05,34.5,40.0,10,2008-09
Sean Singletary,PG,-,-,-,26.0,-,18,2008-09
Ronald Steele,PG,11.08,-,3.26,25.0,29.5,5,2008-09
Mike Taylor,SG-PG,10.98,-,3.08,31.0,39.0,2,2008-09
Bryce Taylor,SG,11.08,-,3.19,34.5,41.0,16,2008-09
Mark Tyndale,SG-SF,12.52,-,3.14,27.0,33.5,5,2008-09
Robert Vaden,SG,11.97,-,3.40,26.0,29.5,10,2008-09
Deron Washington,SF,11.03,-,3.09,34.0,40.0,7,2008-09
Sonny Weems,SG-SF,10.58,-,2.96,29.0,36.5,12,2008-09
Russell Westbrook,PG,10.98,-,3.08,30.0,36.5,12,2008-09
Reggie Williams,SG,11.32,-,3.07,31.5,36.5,15,2008-09
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16,2009-10
Jeff Ayres,PF,11.98,-,3.14,31.0,35.0,15,2009-10
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39.0,3,2009-10
DeJuan Blair,PF,11.50,-,3.45,26.0,33.0,18,2009-10
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20,2009-10
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10,2009-10
DeMarre Carroll,PF-SF,-,-,-,-,-,-,2009-10
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2,2009-10
Dionte Christmas,SG,10.83,-,3.21,27.0,33.5,3,2009-10
Earl Clark,SF-PF,11.17,-,3.35,28.5,33.0,5,2009-10
Darren Collison,PG,10.45,-,3.10,30.5,33.5,9,2009-10
Dante Cunningham,PF,11.18,-,3.26,28.0,35.0,18,2009-10
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10,2009-10
Austin Daye,SF-PF,12.11,-,3.55,25.0,28.0,-,2009-10
DeMar DeRozan,SG-SF,11.88,-,3.31,29.0,38.5,5,2009-10
Toney Douglas,PG,10.63,-,3.03,28.0,32.5,15,2009-10
Wayne Ellington,SG,11.14,-,3.20,31.5,38.0,13,2009-10
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34.0,7,2009-10
Jonny Flynn,PG,10.86,-,3.23,33.0,40.0,10,2009-10
Taj Gibson,PF,11.56,-,3.41,25.5,30.0,12,2009-10
Danny Green,SG-SF,11.30,-,3.30,29.0,33.0,15,2009-10
Blake Griffin,PF,10.95,-,3.28,32.0,35.5,22,2009-10
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34.0,18,2009-10
James Harden,SG,11.10,-,3.13,31.5,37.0,17,2009-10
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35.0,8,2009-10
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34.0,15,2009-10
Jordan Hill,PF-C,12.23,-,3.30,31.0,35.0,11,2009-10
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34.0,6,2009-10
Joe Ingles,SF,10.66,-,3.30,26.0,31.0,3,2009-10
James Johnson,SF-PF,11.21,-,3.23,30.5,35.0,18,2009-10
Ty Lawson,PG,10.98,-,3.12,29.0,36.5,14,2009-10
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8,2009-10
Jack McClinton,SG-PG,10.44,-,3.21,30.0,36.5,13,2009-10
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10,2009-10
Jodie Meeks,SG,10.96,-,3.10,28.5,37.0,14,2009-10
Patty Mills,PG,10.87,-,3.10,27.5,33.0,8,2009-10
Byron Mullens,C,11.10,-,3.45,28.5,32.5,10,2009-10
A.J. Price,PG,10.99,-,3.22,26.0,31.0,11,2009-10
Tyler Smith,SF,10.69,-,3.24,29.0,33.5,10,2009-10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15,2009-10
Jermaine Taylor,SG,11.54,-,3.32,34.0,37.5,16,2009-10
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13,2009-10
Hasheem Thabeet,C,-,-,-,-,-,-,2009-10
Marcus Thornton,SG,10.73,-,3.28,31.0,33.0,14,2009-10
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37.0,9,2009-10
Sam Young,SF-SG,11.47,-,3.45,27.5,33.0,-,2009-10
Solomon Alabi,C,13.20,-,3.68,22.5,26.0,10,2010-11
Cole Aldrich,C,11.48,-,3.35,23.0,28.0,10,2010-11
Al-Farouq Aminu,SF,11.29,-,3.30,27.0,33.5,13,2010-11
James Anderson,SF,11.86,-,3.19,30.0,35.5,14,2010-11
Luke Babbitt,SF-PF,10.98,-,3.40,29.5,37.5,15,2010-11
Eric Bledsoe,PG,-,-,-,-,-,9,2010-11
Trevor Booker,PF,11.15,-,3.10,31.0,36.0,22,2010-11
Craig Brackins,PF-SF,11.65,-,3.39,26.0,35.0,6,2010-11
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2,2010-11
Derrick Caracter,PF,12.78,-,3.61,25.0,30.5,22,2010-11
Sherron Collins,PG,12.31,-,3.24,27.5,33.0,-,2010-11
DeMarcus Cousins,C,11.40,-,3.55,23.5,27.5,-,2010-11
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7,2010-11
Ed Davis,PF,11.70,-,3.21,31.0,36.0,-,2010-11
Devin Ebanks,SF,11.69,-,3.44,23.5,32.0,6,2010-11
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14,2010-11
Keith Gallon,PF-C,13.44,-,3.70,23.5,28.5,14,2010-11
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2,2010-11
Paul George,SF,-,-,-,-,-,4,2010-11
Luke Harangody,PF,11.83,-,3.41,24.0,28.5,23,2010-11
Manny Harris,SG,-,-,-,-,-,11,2010-11
Lazar Hayward,SG-SF,10.87,-,3.31,31.0,36.0,15,2010-11
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10,2010-11
Xavier Henry,SG,11.10,-,3.18,28.5,36.5,8,2010-11
Darington Hobson,SG-SF,11.68,-,3.25,29.0,34.0,-,2010-11
Damion James,SF,10.89,-,3.20,29.0,33.0,13,2010-11
Wesley Johnson,SF,11.43,-,3.14,32.0,37.0,16,2010-11
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18,2010-11
Dominique Jones,SG,10.88,-,3.31,26.0,32.5,19,2010-11
Jerome Jordan,C,-,-,-,-,-,-,2010-11
Sylven Landesberg,SG,11.59,-,3.36,28.0,32.0,8,2010-11
Gani Lawal,PF,11.61,-,3.24,27.0,31.5,20,2010-11
Greg Monroe,PF-C,12.10,-,3.35,25.0,29.0,15,2010-11
Daniel Orton,C,12.32,-,3.39,24.0,30.5,13,2010-11
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16,2010-11
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17,2010-11
Dexter Pittman,PF-C,-,-,-,-,-,-,2010-11
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8,2010-11
Ryan Richards,PF,11.33,-,3.37,25.0,28.5,4,2010-11
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6,2010-11
Larry Sanders,PF-C,12.49,-,3.27,25.5,28.0,7,2010-11
Jon Scheyer,PG-SG,-,-,-,-,-,-,2010-11
Lance Stephenson,SG,11.39,-,3.38,27.0,33.0,10,2010-11
Mikhail Torrance,PG,11.43,-,3.17,23.0,32.0,8,2010-11
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9,2010-11
Ekpe Udoh,PF,11.15,-,3.29,31.0,33.5,10,2010-11
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3,2010-11
Greivis Vasquez,PG-SG,-,-,-,-,-,-,2010-11
John Wall,PG,10.84,-,3.14,30.0,39.0,-,2010-11
Willie Warren,SG-PG,11.21,-,3.50,23.0,31.5,10,2010-11
Terrico White,SG-PG,11.38,-,3.15,31.0,40.0,10,2010-11
Hassan Whiteside,C-PF,11.83,-,3.54,27.0,31.5,12,2010-11
Keith Benson,C-PF,11.88,-,3.35,31.5,36.0,12,2011-12
Marshon Brooks,SG,10.74,-,3.09,34.0,38.5,5,2011-12
Alec Burks,SG,10.96,-,3.17,29.0,36.0,5,2011-12
Jimmy Butler,SF,11.12,-,3.15,32.0,39.0,14,2011-12
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11,2011-12
Jon Diebler,SG,10.94,-,3.37,28.0,35.0,2,2011-12
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10,2011-12
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31.0,3,2011-12
Kenneth Faried,PF,11.35,-,3.26,30.5,35.0,16,2011-12
James Fredette,PG,10.42,-,3.21,28.0,33.0,14,2011-12
Andrew Goudelock,PG,10.33,-,3.10,32.5,37.0,4,2011-12
Jordan Hamilton,SF,11.47,-,3.30,25.0,32.0,7,2011-12
Justin Harper,PF-SF,11.92,-,3.30,28.5,33.0,19,2011-12
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12,2011-12
Tyler Honeycutt,SF,11.68,-,3.07,30.0,37.0,-,2011-12
Scotty Hopson,SG,10.47,-,3.18,32.5,36.0,10,2011-12
Kyrie Irving,PG,-,-,-,-,-,-,2011-12
Rick Jackson,PF,11.51,-,3.26,28.5,33.0,9,2011-12
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34.0,16,2011-12
JaJuan Johnson,PF,11.21,-,3.14,33.5,38.0,15,2011-12
Cory Joseph,PG,10.75,-,3.27,27.5,35.0,5,2011-12
Enes Kanter,PF-C,11.30,-,3.26,26.0,32.5,14,2011-12
Brandon Knight,PG,10.74,-,3.07,29.0,37.5,10,2011-12
Malcolm Lee,SG,11.20,-,3.09,30.0,35.5,17,2011-12
Kawhi Leonard,SF,11.45,-,3.15,25.5,32.0,3,2011-12
Travis Leslie,SG,11.00,-,3.13,33.0,40.5,10,2011-12
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14,2011-12
DeAndre Liggins,SF-SG,-,-,3.33,27.0,31.0,6,2011-12
David Lighty,SG,10.81,-,3.25,28.5,33.0,15,2011-12
Shelvin Mack,PG,11.23,-,3.18,32.0,39.0,17,2011-12
Demetri McCamey,PG,11.55,-,3.19,27.0,33.0,-,2011-12
E'Twaun Moore,SG,11.12,-,3.31,32.0,34.5,-,2011-12
Marcus Morris,PF-SF,-,-,3.15,29.0,33.0,11,2011-12
Markieff Morris,PF,-,-,3.40,27.0,31.5,11,2011-12
Darius Morris,PG-SG,11.00,-,3.20,24.5,32.0,12,2011-12
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4,2011-12
Jereme Richmond,SF,11.74,-,3.02,27.0,33.5,-,2011-12
Josh Selby,SG-PG,11.13,-,3.20,29.5,42.0,5,2011-12
Iman Shumpert,PG-SG,11.10,-,3.18,36.5,42.0,18,2011-12
Kyle Singler,SF,11.22,-,3.21,23.0,30.0,10,2011-12
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15,2011-12
Jamie Skeen,PF,12.43,-,3.46,26.0,30.5,10,2011-12
Nolan Smith,PG,11.05,-,3.17,28.5,34.0,9,2011-12
Gregory Smith,PF-C,12.43,-,3.36,29.5,36.0,17,2011-12
Malcolm Thomas,PF,11.31,-,3.29,32.0,36.5,3,2011-12
Isaiah Thomas,PG,10.49,-,3.14,31.5,40.0,13,2011-12
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15,2011-12
Tristan Thompson,PF,10.92,-,3.26,30.0,35.0,9,2011-12
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5,2011-12
Jeremy Tyler,PF-C,11.26,-,3.29,28.0,33.5,10,2011-12
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25.0,8,2011-12
Kemba Walker,PG,10.87,-,3.16,32.0,39.5,7,2011-12
Jordan Williams,PF,12.74,-,3.45,25.0,30.5,10,2011-12
Derrick Williams,PF-SF,11.03,-,3.23,29.0,34.5,19,2011-12
Quincy Acy,PF,10.48,-,3.28,32.0,37.0,13,2012-13
Harrison Barnes,SF-SG,10.93,-,3.16,38.0,39.5,15,2012-13
Will Barton,SG-SF,12.50,-,3.60,30.0,34.0,-,2012-13
Bradley Beal,SG,10.95,-,3.28,33.0,39.0,8,2012-13
J'Covan Brown,PG,11.68,-,3.47,26.0,29.5,3,2012-13
William Buford,SG-SF,11.40,-,3.43,27.5,32.5,8,2012-13
Jae Crowder,SF,11.45,-,3.37,31.0,34.5,20,2012-13
Jared Cunningham,SG-PG,-,-,-,-,-,4,2012-13
Anthony Davis,PF-C,-,-,-,-,-,-,2012-13
Marcus Denmon,SG,10.82,-,3.19,33.5,40.0,8,2012-13
Andre Drummond,C,10.83,-,3.39,31.5,33.5,10,2012-13
Kim English,SG,10.59,-,3.33,29.0,36.5,-,2012-13
Festus Ezeli,C-PF,12.35,-,3.29,34.0,33.5,18,2012-13
Drew Gordon,PF,11.35,-,3.49,29.0,34.0,10,2012-13
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19,2012-13
Draymond Green,PF-SF,11.01,-,3.40,28.0,33.0,9,2012-13
Maurice Harkless,SF,10.87,-,3.25,32.5,37.0,5,2012-13
John Henson,PF,-,-,-,25.5,30.0,5,2012-13
Tu Holloway,PG,11.00,-,3.42,28.0,35.0,12,2012-13
Robbie Hummel,SF,11.56,-,3.41,27.5,30.0,13,2012-13
Bernard James,PF,11.84,-,3.40,30.0,32.5,6,2012-13
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10,2012-13
Orlando Johnson,SG,10.98,-,3.25,32.0,39.5,13,2012-13
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17,2012-13
Terrence Jones,PF-SF,11.57,-,3.40,29.5,34.5,12,2012-13
Kevin Jones,PF,11.94,-,3.60,27.5,32.5,17,2012-13
Perry Jones,PF-SF,11.31,-,3.19,33.0,38.5,11,2012-13
Kris Joseph,SG,-,-,3.46,28.5,35.0,6,2012-13
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32.0,35.5,6,2012-13
Doron Lamb,SG-PG,11.12,-,3.41,29.0,33.5,2,2012-13
Jeremy Lamb,SG,10.98,-,3.25,31.5,38.0,5,2012-13
Meyers Leonard,C,11.34,-,3.41,30.0,32.5,19,2012-13
Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13,2012-13
Scott Machado,PG,11.26,-,3.30,27.0,32.5,17,2012-13
Kendall Marshall,PG,12.03,-,3.23,31.0,37.0,-,2012-13
Fab Melo,C,12.14,-,3.44,29.5,31.0,9,2012-13
Khris Middleton,SF,11.45,-,3.47,28.0,31.0,4,2012-13
Darius Miller,SF-SG,11.34,-,3.31,33.0,37.0,14,2012-13
Quincy Miller,SF,11.05,-,3.48,30.5,36.0,8,2012-13
Tony Mitchell,SG,11.72,-,3.47,31.5,40.0,14,2012-13
Arnett Moultrie,PF,11.32,-,3.22,33.5,37.5,10,2012-13
Kevin Murphy,SG,10.97,-,3.42,31.0,36.5,11,2012-13
Andrew Nicholson,PF,11.89,-,3.67,28.5,30.5,10,2012-13
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-,2012-13
Miles Plumlee,PF-C,10.64,-,3.36,34.0,40.5,15,2012-13
Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1,2012-13
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15,2012-13
Terrence Ross,SG-SF,11.78,-,3.28,31.0,37.5,2,2012-13
Tomas Satoransky,PG-SG,-,-,-,-,-,-,2012-13
Mike Scott,PF,11.59,-,3.44,27.0,32.5,14,2012-13
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7,2012-13
Jared Sullinger,PF,12.77,-,3.81,29.5,31.0,9,2012-13
Tyshawn Taylor,PG,11.48,-,3.20,32.0,36.5,-,2012-13
Jordan Taylor,PG,10.57,-,3.19,33.0,36.5,14,2012-13
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40.0,15,2012-13
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8,2012-13
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6,2012-13
Dion Waiters,SG,-,-,-,-,-,-,2012-13
Royce White,PF,-,-,-,-,-,-,2012-13
Tony Wroten,PG,10.75,-,3.24,30.0,35.5,-,2012-13
Tyler Zeller,PF-C,11.13,-,3.40,30.0,34.0,16,2012-13
Steven Adams,C,11.85,3.02,3.40,28.5,33.0,16,2013-14
Vander Blue,SG,10.40,2.70,3.14,28.0,37.5,4,2013-14
Lorenzo Brown,PG,11.78,3.24,3.40,28.0,34.0,8,2013-14
Reggie Bullock,SG-SF,11.33,3.30,3.31,31.0,36.5,11,2013-14
Trey Burke,PG,11.20,3.01,3.16,29.5,36.5,3,2013-14
Kentavious Caldwell-Pope,SG,10.60,3.20,3.12,29.0,34.5,7,2013-14
Isaiah Canaan,PG,10.98,2.89,3.22,33.0,40.5,16,2013-14
Jackie Carmichael,PF,11.83,3.07,3.35,30.0,32.0,13,2013-14
Michael Carter-Williams,PG,10.68,3.70,3.22,31.5,41.0,8,2013-14
Will Clyburn,SF-SG,11.68,3.12,3.38,28.0,34.5,3,2013-14
Robert Covington,SF-PF,11.69,3.10,3.34,29.5,36.0,9,2013-14
Allen Crabbe,SG,10.67,3.10,3.32,30.5,36.0,10,2013-14
Seth Curry,SG,-,-,-,-,-,-,2013-14
Brandon Davies,PF,11.22,3.14,3.50,26.0,31.5,7,2013-14
Dewayne Dedmon,C,12.75,3.26,3.40,28.0,32.5,8,2013-14
Gorgui Dieng,C,-,-,-,-,-,-,2013-14
James Ennis,SF,11.55,3.06,3.40,29.5,36.5,7,2013-14
Carrick Felix,SF-SG,11.16,3.09,3.25,32.0,38.5,15,2013-14
Jamaal Franklin,SG-SF,-,-,-,-,-,-,2013-14
Rudy Gobert,C,12.85,3.19,3.57,25.0,29.0,7,2013-14
Archie Goodwin,SG,10.75,3.41,3.27,30.0,36.0,1,2013-14
Erick Green,PG,-,-,-,-,-,5,2013-14
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16,2013-14
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14,2013-14
Richard Howell,PF,-,-,-,-,-,-,2013-14
Colton Iverson,C,11.52,3.04,3.52,26.5,30.0,12,2013-14
Pierre Jackson,PG,-,-,-,-,-,-,2013-14
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34.0,2,2013-14
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2,2013-14
Kenny Kadji,PF-C,11.47,2.88,3.44,34.0,38.0,9,2013-14
Ryan Kelly,PF,-,-,-,-,-,-,2013-14
Shane Larkin,PG,10.64,3.03,3.08,34.5,44.0,12,2013-14
Ricky Ledo,SG,10.72,3.16,3.32,27.0,33.5,4,2013-14
Alex Len,C,-,-,-,-,-,-,2013-14
CJ Leslie,PF-SF,10.19,2.79,3.10,32.5,40.5,-,2013-14
Trevor Mbakwe,PF,12.01,2.97,3.32,30.0,36.5,21,2013-14
Ray McCallum,PG,10.82,3.08,3.25,30.5,40.0,5,2013-14
CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5,13,2013-14
Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0,6,2013-14
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38.0,13,2013-14
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0,10,2013-14
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13,2013-14
Mike Muscala,C-PF,11.76,2.99,3.44,28.0,33.5,5,2013-14
Nerlens Noel,C,-,-,-,-,-,-,2013-14
Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0,15,2013-14
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5,2013-14
Brandon Paul,SG,11.16,2.90,3.37,33.5,39.5,15,2013-14
Norvel Pelle,PF-C,11.49,3.20,3.32,31.0,34.5,-,2013-14
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36.0,14,2013-14
Otto Porter,SF,11.25,3.06,3.40,27.0,36.0,9,2013-14
Phil Pressey,PG,10.86,3.02,3.13,33.0,38.5,7,2013-14
Glen Rice,SF-SG,10.99,3.08,3.25,33.0,40.5,10,2013-14
Andre Roberson,PF-SF,11.36,3.02,3.34,30.0,36.5,10,2013-14
Dennis Schroder,PG,11.09,2.86,3.21,30.0,34.0,1,2013-14
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15,2013-14
Tony Snell,SF-SG,11.36,2.84,3.25,30.0,36.5,7,2013-14
James Southerland,SF-PF,10.90,3.03,3.38,29.0,32.0,5,2013-14
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13,2013-14
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32.0,5,2013-14
Jeff Withey,C,12.49,3.29,3.47,26.5,29.0,10,2013-14
Nate Wolters,PG,-,-,-,-,-,8,2013-14
BJ Young,SG-PG,-,-,-,-,-,-,2013-14
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17,2013-14
Jordan Adams,SG,12.13,3.05,3.50,24.5,29.5,-,2014-15
Kyle Anderson,SF,-,-,-,-,-,-,2014-15
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,-,2014-15
Jordan Bachynski,PF,12.15,3.03,3.36,29.0,33.0,-,2014-15
Cameron Bairstow,PF,11.39,3.09,3.37,31.0,33.5,-,2014-15
Khem Birch,PF,11.60,3.24,3.26,30.5,35.5,-,2014-15
Alec Brown,PF,12.05,2.91,3.48,27.0,30.0,-,2014-15
Markel Brown,SG,12.62,2.90,3.18,36.5,43.5,-,2014-15
Jabari Brown,SG,11.60,3.26,3.50,28.0,32.0,-,2014-15
Deonte Burton,PG,11.28,3.08,3.28,29.0,39.5,-,2014-15
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,-,2014-15
Jordan Clarkson,PG,10.76,2.98,3.28,33.0,38.5,-,2014-15
Aaron Craft,PG,10.78,2.90,3.26,29.0,32.0,-,2014-15
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32.0,-,2014-15
Spencer Dinwiddie,PG,-,-,-,-,-,-,2014-15
Cleanthony Early,SF,11.15,2.96,3.18,34.0,40.0,-,2014-15
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35.0,-,2014-15
Tyler Ennis,PG,11.12,2.84,3.30,29.0,36.0,-,2014-15
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-,2014-15
C.J. Fair,SF,11.00,3.06,3.32,27.0,35.0,-,2014-15
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39.0,-,2014-15
Jerami Grant,SF,-,-,-,-,-,-,2014-15
P.J. Hairston,SG,11.12,-,3.32,32.0,37.0,-,2014-15
Gary Harris,SG,-,-,-,-,-,-,2014-15
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,-,2014-15
Rodney Hood,SF,11.21,3.14,3.38,29.0,36.0,-,2014-15
Cory Jefferson,PF,12.63,3.39,3.36,33.0,37.5,-,2014-15
Nick Johnson,SG,10.80,2.95,3.27,33.5,41.5,-,2014-15
Sean Kilpatrick,SG,-,-,-,-,-,-,2014-15
Alex Kirk,PF,11.20,3.19,3.48,28.5,31.5,-,2014-15
Zach LaVine,PG,10.42,2.80,3.19,33.5,41.5,-,2014-15
Devyn Marble,SG,11.32,3.08,3.28,29.0,35.0,-,2014-15
James McAdoo,PF,11.61,2.91,3.28,29.5,34.0,-,2014-15
K.J. McDaniels,SF,12.71,3.20,3.10,33.0,37.0,-,2014-15
Doug McDermott,SF,11.10,3.15,3.29,28.5,36.5,-,2014-15
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,-,2014-15
Shabazz Napier,PG,11.60,3.13,3.20,30.5,37.5,-,2014-15
Johnny O?Bryant III,PF,11.57,3.32,3.45,31.0,35.5,-,2014-15
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,-,2014-15
Adreian Payne,PF,-,-,-,-,-,-,2014-15
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-,2014-15
Dwight Powell,PF,11.28,2.88,3.20,28.5,35.0,-,2014-15
Julius Randle,PF,11.45,3.14,3.27,29.0,35.5,-,2014-15
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,-,2014-15
LaQuinton Ross,SF,11.97,3.52,3.44,25.0,31.0,-,2014-15
Marcus Smart,PG,10.82,2.96,3.26,33.0,36.0,-,2014-15
Russ Smith,PG,11.57,3.01,3.27,29.5,34.0,-,2014-15
Nik Stauskas,SG,10.79,2.92,3.27,29.0,35.5,-,2014-15
Jarnell Stokes,PF,11.92,3.20,3.26,31.0,36.0,-,2014-15
Xavier Thames,PG,11.48,3.02,3.48,29.0,32.5,-,2014-15
Noah Vonleh,PF,11.45,3.29,3.28,31.0,37.0,-,2014-15
