player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,-,2020-21
Elijah Hughes,SF-SG,-,-,-,-,-,-,2020-21
Isaiah Joe,SG,-,-,-,-,-,-,2020-21
Mason Jones,SG,10.60,2.49,3.33,24.0,31.0,-,2020-21
Nathan Knight,PF-C,11.56,2.96,3.31,23.0,31.5,-,2020-21
Theo Maledon,PG,-,-,-,-,-,-,2020-21
Karim Mane,PG-SG,11.52,2.64,3.04,31.0,36.0,-,2020-21
Naji Marshall,SF,11.77,2.90,3.37,28.5,35.0,-,2020-21
Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,-,2020-21
Skylar Mays,SG,10.65,2.40,3.30,29.0,37.5,-,2020-21
Zeke Nnaji,PF-C,10.94,2.72,3.20,33.0,38.0,-,2020-21
Jordan Nwora,SF-PF,11.29,2.66,3.43,29.0,35.0,-,2020-21
Reggie Perry,PF-C,11.26,2.57,3.25,30.0,33.5,-,2020-21
Myles Powell,PG-SG,-,-,-,-,-,-,2020-21
Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,-,2020-21
Jahmi'us Ramsey,SG,-,-,-,-,-,-,2020-21
Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,-,2020-21
Nick Richards,C,11.42,2.92,3.25,30.0,34.0,-,2020-21
Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,-,2020-21
Jayden Scrubb,SG-SF,-,-,-,-,-,-,2020-21
Jalen Smith,PF-C,-,-,-,-,-,-,2020-21
Cassius Stanley,SG,11.40,2.43,3.09,34.5,44.0,-,2020-21
Lamar Stevens,SF-PF,10.35,2.54,3.20,35.0,41.0,-,2020-21
Isaiah Stewart,C,-,-,-,-,-,-,2020-21
Tyrell Terry,PG,10.78,2.59,3.28,30.0,34.0,-,2020-21
Killian Tillie,PF,11.60,2.62,3.40,27.5,32.0,-,2020-21
Xavier Tillman Sr.,PF-C,11.80,3.01,3.49,26.0,32.5,-,2020-21
Kaleb Wesson,C,11.73,2.64,3.60,21.5,27.0,-,2020-21
Kahlil Whitney,SF,11.17,2.61,3.28,29.0,39.0,-,2020-21
Cassius Winston,PG,11.15,2.74,3.61,24.0,28.0,-,2020-21
Robert Woodard II,SF,11.10,2.49,3.18,32.0,38.0,-,2020-21
Max Abmas,PG,10.90,3.49,3.12,28.5,32.5,-,2021-22
Ochai Agbaji,SG,10.88,3.10,3.13,32.0,41.5,-,2021-22
Marcus Bagley,SF,12.26,3.10,3.17,32.5,38.5,-,2021-22
Scottie Barnes,SF,10.88,2.99,3.15,36.0,39.5,-,2021-22
Charles Bassey,C,12.19,3.33,3.13,33.0,36.0,-,2021-22
Brandon Boston Jr.,SF,-,-,-,-,-,-,2021-22
James Bouknight,SG,-,-,-,-,-,-,2021-22
Greg Brown III,PF,10.98,2.98,3.19,33.5,39.0,-,2021-22
Jared Butler,PG,-,-,-,-,-,-,2021-22
Julian Champagnie,SF,12.38,3.20,3.20,26.0,32.0,-,2021-22
Justin Champagnie,PF,11.94,3.14,3.34,27.0,35.0,-,2021-22
Josh Christopher,SG,11.32,3.30,3.14,29.5,37.5,-,2021-22
Sharife Cooper,PG,-,-,-,-,-,-,2021-22
Cade Cunningham,PG,-,-,-,-,-,-,2021-22
Ayo Dosunmu,SG,11.51,3.27,3.23,27.0,33.5,-,2021-22
David Duke Jr.,SG,11.21,3.19,3.08,30.0,39.0,-,2021-22
Kessler Edwards,PF,11.30,3.38,3.25,28.0,37.0,-,2021-22
Luka Garza,C,11.90,3.38,3.51,24.0,29.5,-,2021-22
RaiQuan Gray,PF,11.69,3.30,3.25,26.5,31.5,-,2021-22
Jalen Green,SG,-,-,-,-,-,-,2021-22
Quentin Grimes,SG,11.09,3.33,3.07,30.5,38.5,-,2021-22
Sam Hauser,SF,11.14,3.07,3.34,28.5,34.5,-,2021-22
Aaron Henry,SF,11.68,3.18,3.07,29.0,35.0,-,2021-22
Ariel Hukporti,C,12.20,3.53,3.12,24.5,31.0,-,2021-22
Matt Hurt,PF,11.44,3.25,3.34,25.5,32.5,-,2021-22
Nah'Shon Hyland,SG,10.53,3.17,3.10,26.5,34.0,-,2021-22
Isaiah Jackson,C,-,-,-,-,-,-,2021-22
David Johnson,SG,12.02,3.20,3.03,33.0,39.0,-,2021-22
Jalen Johnson,PF,-,-,-,-,-,-,2021-22
Keon Johnson,SG,11.45,3.20,3.00,41.5,48.0,-,2021-22
Carlik Jones,PG,10.96,3.23,3.16,31.5,36.0,-,2021-22
Kai Jones,PF,-,-,-,-,-,-,2021-22
Herbert Jones,SF,11.02,3.17,3.25,28.5,36.5,-,2021-22
Johnny Juzang,SG,11.13,3.08,3.13,31.0,36.5,-,2021-22
Corey Kispert,SF,10.91,2.99,3.12,30.0,37.5,-,2021-22
Jonathan Kuminga,SF,-,-,-,-,-,-,2021-22
AJ Lawson,SG-SF,11.00,3.01,2.98,33.0,41.0,-,2021-22
Scottie Lewis,SF,10.45,3.03,2.98,34.0,42.0,-,2021-22
Isaiah Livers,SF,-,-,-,-,-,-,2021-22
Makur Maker,C,11.87,3.28,3.34,25.5,31.0,-,2021-22
Sandro Mamukelashvili,C,11.63,3.30,3.21,30.5,36.5,-,2021-22
Tre Mann,PG,-,-,-,-,-,-,2021-22
Matthew Mayer,PF,-,-,-,-,-,-,2021-22
Miles McBride,PG,11.08,3.13,3.10,31.0,38.5,-,2021-22
Davion Mitchell,PG,-,-,-,-,-,-,2021-22
Evan Mobley,PF,-,-,-,-,-,-,2021-22
Isaiah Mobley,PF,12.70,3.50,3.30,26.5,32.0,-,2021-22
Moses Moody,SG,-,-,-,-,-,-,2021-22
Trey Murphy III,SF,11.65,3.32,3.14,34.0,38.0,-,2021-22
Daishen Nix,PG,11.72,3.18,3.00,29.5,36.5,-,2021-22
John Petty Jr.,SG,11.51,3.17,3.35,27.5,34.0,-,2021-22
Yves Pons,PF,10.89,3.05,3.10,36.0,42.5,-,2021-22
Jason Preston,PG,10.82,3.08,3.13,30.5,38.5,-,2021-22
Joshua Primo,SG,10.97,3.36,3.22,30.5,37.5,-,2021-22
Roko Prkacin,PF,-,-,-,-,-,-,2021-22
Neemias Queta,C,11.85,3.50,3.29,27.0,33.0,-,2021-22
Austin Reaves,SG,10.94,3.19,3.07,25.0,35.0,-,2021-22
Jeremiah Robinson-Earl,PF,11.64,3.15,3.29,27.0,32.0,-,2021-22
Terrence Shannon Jr.,SF,11.51,3.12,3.21,32.5,39.5,-,2021-22
Day'Ron Sharpe,C,-,-,-,-,-,-,2021-22
Jericho Sims,C,11.59,3.38,3.05,37.0,44.5,-,2021-22
Jaden Springer,SG,11.46,3.10,3.13,34.5,41.5,-,2021-22
DJ Steward,PG,11.14,3.10,3.08,34.5,38.5,-,2021-22
Cam Thomas,SG,-,-,-,-,-,-,2021-22
JT Thor,PF,12.19,3.08,3.06,31.5,35.0,-,2021-22
Isaiah Todd,PF,11.38,3.25,3.31,28.5,35.5,-,2021-22
Duane Washington Jr.,SG,11.50,3.06,3.17,29.5,35.5,-,2021-22
Trendon Watford,PF,11.69,3.23,3.27,28.0,35.0,-,2021-22
Joe Wieskamp,SF,10.70,3.18,3.04,30.0,42.0,-,2021-22
Aaron Wiggins,SG-SF,11.20,3.00,3.04,29.5,36.0,-,2021-22
Ziaire Williams,SF,10.69,3.04,3.12,34.0,39.5,-,2021-22
Moses Wright,PF,11.20,3.42,3.15,31.5,38.0,-,2021-22
McKinley Wright IV,PG,10.76,3.12,3.08,31.5,38.0,-,2021-22
Marcus Zegarowski,PG,11.47,3.26,3.11,30.0,35.5,-,2021-22
Ochai Agbaji,SG,10.77,3.11,3.13,32.0,39.0,-,2022-23
Patrick Baldwin Jr.,SF,12.25,3.30,3.45,23.5,26.5,-,2022-23
Paolo Banchero,PF,-,-,-,-,-,-,2022-23
Dominick Barlow,PF,11.29,3.19,3.33,28.5,34.0,-,2022-23
MarJon Beauchamp,SG,-,-,-,-,-,-,2022-23
Hugo Besson,SG,11.36,3.25,3.40,24.5,31.5,-,2022-23
Malaki Branham,SG,11.38,3.09,3.17,29.0,35.0,-,2022-23
Christian Braun,SG,11.00,3.13,3.16,33.5,40.0,-,2022-23
Kendall Brown,SF,11.57,3.05,3.29,31.5,41.0,-,2022-23
John Butler Jr.,PF,11.16,3.04,3.33,26.5,28.5,-,2022-23
Julian Champagnie,SF,11.39,3.04,3.14,28.5,34.5,-,2022-23
Kennedy Chandler,PG,10.73,2.89,-,31.0,41.5,-,2022-23
Max Christie,SG,10.82,3.02,3.07,32.0,37.5,-,2022-23
Kofi Cockburn,C,12.11,3.31,3.33,29.5,32.5,-,2022-23
Dyson Daniels,SG,10.81,2.81,3.22,29.0,34.0,-,2022-23
Johnny Davis,PG,-,-,-,-,-,-,2022-23
JD Davison,PG,11.38,3.23,3.26,30.0,37.0,-,2022-23
Darius Days,SF-PF,-,-,-,-,-,-,2022-23
Moussa Diabate,C,11.16,2.90,3.26,29.0,36.5,-,2022-23
Ousmane Dieng,SF,-,-,-,-,-,-,2022-23
Khalifa Diop,C,-,-,-,-,-,-,2022-23
Jalen Duren,C,-,-,-,-,-,-,2022-23
Tari Eason,PF,-,-,-,-,-,-,2022-23
Keon Ellis,SG,10.87,3.02,3.18,28.0,35.5,-,2022-23
Michael Foster Jr.,C,11.49,3.10,3.22,28.0,32.5,-,2022-23
Collin Gillespie,PG,10.95,3.01,3.21,26.5,33.0,-,2022-23
AJ Griffin,SF,-,-,-,-,-,-,2022-23
Jaden Hardy,SG,-,-,-,-,-,-,2022-23
Ron Harper Jr.,SF,11.41,3.24,3.40,26.0,30.5,-,2022-23
Chet Holmgren,PF,-,-,-,-,-,-,2022-23
Harrison Ingram,SF,11.83,3.26,3.31,29.5,35.0,-,2022-23
Jaden Ivey,PG,-,-,-,-,-,-,2022-23
Trayce Jackson-Davis,C,-,-,-,-,-,-,2022-23
Nikola Jovic,SF,-,-,-,-,-,-,2022-23
Johnny Juzang,SG,11.03,3.17,3.29,27.5,32.5,-,2022-23
Ismael Kamagate,PF,-,-,-,-,-,-,2022-23
Trevor Keels,SG,11.33,3.32,3.27,24.5,31.0,-,2022-23
Walker Kessler,C,-,-,-,-,-,-,2022-23
Christian Koloko,C,11.30,3.19,3.27,28.0,33.5,-,2022-23
Jake LaRavia,PF,10.58,2.89,3.37,27.5,34.0,-,2022-23
Justin Lewis,PF,11.49,3.02,3.23,32.5,35.0,-,2022-23
E.J. Liddell,PF,11.11,3.23,3.26,35.5,38.0,-,2022-23
Kenneth Lofton Jr.,PF-C,-,-,-,-,-,-,2022-23
Tyrese Martin,SG-SF,-,-,-,-,-,-,2022-23
Bennedict Mathurin,SG,-,-,-,-,-,-,2022-23
Matthew Mayer,SF,10.74,-,3.39,25.5,31.5,-,2022-23
Bryce McGowens,SG,11.12,3.16,3.27,29.5,34.0,-,2022-23
Leonard Miller,SF,11.11,3.02,3.36,30.0,36.5,-,2022-23
Josh Minnott,PF,-,-,-,-,-,-,2022-23
Aminu Mohammed,SG-SF,11.54,3.04,3.33,29.5,36.0,-,2022-23
Iverson Molinar,PG,11.23,3.10,3.19,31.0,38.0,-,2022-23
Jean Montero,PG,11.19,3.17,3.17,29.5,37.0,-,2022-23
Wendell Moore,SG,10.94,3.21,3.30,32.5,38.5,-,2022-23
Keegan Murray,PF,-,-,-,-,-,-,2022-23
Andrew Nembhard,PG,10.46,3.02,3.26,26.5,35.0,-,2022-23
Scotty Pippen Jr.,PG,11.07,3.10,3.21,30.5,37.5,-,2022-23
Gabriele Procida,SG-SF,11.02,3.14,3.07,29.5,35.0,-,2022-23
Jared Rhoden,SG-SF,-,-,-,-,-,-,2022-23
Orlando Robinson,C,11.40,3.23,3.55,23.0,27.5,-,2022-23
David Roddy,PF,10.75,3.10,3.22,27.0,35.5,-,2022-23
Ryan Rollins,SG,11.26,3.28,3.07,30.5,36.5,-,2022-23
Marcus Sasser,PG,-,-,-,-,-,-,2022-23
Dereon Seabron,SG,11.03,3.04,3.12,30.5,38.0,-,2022-23
Shaedon Sharpe,SG,-,-,-,-,-,-,2022-23
Terquavion Smith,SG,10.63,3.03,3.14,30.5,38.5,-,2022-23
Jabari Smith,PF,-,-,-,-,-,-,2022-23
Jeremy Sochan,PF,-,-,-,-,-,-,2022-23
Matteo Spagnolo,PG,11.42,3.16,3.40,25.5,31.5,-,2022-23
Julian Strawther,SF,10.30,3.37,3.26,28.5,35.0,-,2022-23
Dalen Terry,SG,-,-,-,-,-,-,2022-23
Drew Timme,C,11.71,3.31,3.38,25.5,31.5,-,2022-23
Jabari Walker,PF,11.53,3.12,3.24,29.5,32.5,-,2022-23
TyTy Washington Jr.,SG,-,-,-,-,-,-,2022-23
Peyton Watson,SF,11.03,3.24,3.28,28.0,33.5,-,2022-23
Blake Wesley,SG,11.55,3.25,3.21,30.0,36.0,-,2022-23
Alondes Williams,SG,10.96,3.11,3.15,30.0,35.5,-,2022-23
Jalen Williams,SG,11.13,3.17,3.11,33.5,39.0,-,2022-23
Jaylin Williams,C,11.64,3.10,3.50,24.5,30.0,-,2022-23
Trevion Williams,C,12.75,3.46,3.48,27.5,30.0,-,2022-23
Bryson Williams,PF-C,-,-,-,-,-,-,2022-23
Mark Williams,C,-,-,-,-,-,-,2022-23
Jalen Wilson,SF-PF,-,-,-,-,-,-,2022-23
Fanbo Zeng,SF-PF,-,-,-,-,-,-,2022-23
Trey Alexander,SG,11.60,-,3.35,29.5,34.0,-,2023-24
Amari Bailey,SG,11.34,-,3.19,28.5,35.0,-,2023-24
Emoni Bates,SF,11.54,-,3.49,27.0,32.5,-,2023-24
Reece Beekman,PG,10.99,3.33,3.14,30.5,38.0,-,2023-24
Anthony Black,PG,11.04,-,3.35,32.0,39.0,-,2023-24
Adem Bona,C,-,-,-,-,-,-,2023-24
Kobe Brown,PF,11.39,3.23,3.33,28.5,32.0,-,2023-24
Kobe Bufkin,SG,11.71,-,3.26,29.0,36.0,-,2023-24
Toumani Camara,PF,10.70,3.19,3.41,28.5,33.0,-,2023-24
Sidy Cissoko,SF,11.24,-,3.31,30.5,35.5,-,2023-24
Jaylen Clark,SG,-,-,-,-,-,-,2023-24
Noah Clowney,PF,-,-,-,-,-,-,2023-24
Bilal Coulibaly,SG-SF,-,-,-,-,-,-,2023-24
Ricky Council IV,SF,11.20,3.21,3.33,30.5,37.0,-,2023-24
Gradey Dick,SG,11.13,2.98,3.50,29.0,34.0,-,2023-24
Nikola Djurisic,SF,-,-,-,-,-,-,2023-24
Zach Edey,C,11.37,-,3.45,26.0,29.5,-,2023-24
Adam Flagler,PG,10.96,-,3.24,31.0,36.0,-,2023-24
Keyonte George,SG,-,-,-,-,-,-,2023-24
Mouhamed Gueye,C,-,-,-,-,-,-,2023-24
Jordan Hawkins,SG,-,-,-,-,-,-,2023-24
Coleman Hawkins,PF,12.14,-,3.37,26.5,32.5,-,2023-24
Scoot Henderson,PG,-,-,-,-,-,-,2023-24
Taylor Hendricks,PF,11.27,-,3.32,32.5,36.0,-,2023-24
DaRon Holmes II,C,11.48,-,3.20,29.5,35.0,-,2023-24
Jalen Hood-Schifino,PG,-,-,-,-,-,-,2023-24
Jett Howard,SF,-,-,-,-,-,-,2023-24
GG Jackson,PF,11.39,-,3.21,31.0,37.0,-,2023-24
Andre Jackson Jr.,SF,10.83,-,3.14,30.5,39.5,-,2023-24
Trayce Jackson-Davis,C,11.80,3.23,3.20,33.0,36.5,-,2023-24
Jaime Jaquez Jr.,SF,11.21,-,3.33,34.5,39.0,-,2023-24
Keyontae Johnson,SF,-,-,-,-,-,-,2023-24
Colby Jones,SG,11.14,3.13,3.33,30.5,35.0,-,2023-24
Ryan Kalkbrenner,C,12.27,-,3.39,28.0,30.5,-,2023-24
Arthur Kaluma,PF,11.35,3.26,3.44,32.5,34.5,-,2023-24
Mojave King,SG,11.07,-,3.18,33.5,42.0,-,2023-24
Bobi Klintman,PF,-,-,-,-,-,-,2023-24
Maxwell Lewis,SG,11.40,-,3.43,32.5,36.5,-,2023-24
Dereck Lively Jr.,C,-,-,-,-,-,-,2023-24
Chris Livingston,SF,11.65,-,3.27,30.5,37.0,-,2023-24
Seth Lundy,SF,11.02,-,3.15,31.5,35.5,-,2023-24
Kevin McCullar,SF,-,-,-,-,-,-,2023-24
Mike Miles Jr.,PG,11.01,3.24,3.11,33.0,37.0,-,2023-24
Jordan Miller,SF,11.43,3.21,3.17,32.0,36.5,-,2023-24
Brandon Miller,SF,-,-,-,-,-,-,2023-24
Leonard Miller,PF,11.00,-,3.33,32.0,37.5,-,2023-24
Judah Mintz,PG,10.32,3.13,3.24,28.5,37.0,-,2023-24
Dillon Mitchell,PF,10.92,-,3.32,29.0,37.0,-,2023-24
Omari Moore,SG,10.80,-,3.22,29.0,35.5,-,2023-24
Kris Murray,PF,11.11,-,3.30,29.5,35.0,-,2023-24
Grant Nelson,PF,9.99,-,3.21,32.0,35.5,-,2023-24
James Nnaji,C,-,-,-,-,-,-,2023-24
Julian Phillips,SF,11.09,-,3.32,36.0,43.0,-,2023-24
Jalen Pickett,PG,11.91,3.41,3.35,28.5,33.0,-,2023-24
Brandin Podziemski,SG,11.16,3.20,3.21,31.5,39.0,-,2023-24
Olivier-Maxence Prosper,PF,10.59,3.00,3.21,35.0,40.5,-,2023-24
Rayan Rupert,SF,11.18,-,3.43,27.5,32.5,-,2023-24
Adama Sanogo,C,11.50,-,3.31,28.5,31.0,-,2023-24
Marcus Sasser,PG,10.68,-,3.43,27.0,35.0,-,2023-24
Brice Sensabaugh,SF,-,-,-,-,-,-,2023-24
Terrence Shannon Jr.,SF,10.36,-,3.06,32.0,37.5,-,2023-24
Ben Sheppard,SG,10.88,2.98,3.17,29.5,35.5,-,2023-24
Jalen Slawson,PF,11.26,-,3.29,29.0,33.0,-,2023-24
Terquavion Smith,SG,10.86,-,3.21,30.0,37.0,-,2023-24
Nick Smith Jr.,SG,-,-,-,-,-,-,2023-24
Julian Strawther,SF,10.94,3.46,3.31,27.5,34.5,-,2023-24
Amen Thompson,SG,-,-,-,-,-,-,2023-24
Ausar Thompson,SG,-,-,-,-,-,-,2023-24
Drew Timme,C,10.93,-,3.34,26.0,30.5,-,2023-24
Nae'Qwan Tomlin,PF,-,-,-,-,-,-,2023-24
Oscar Tshiebwe,C,12.26,-,3.32,29.5,32.5,-,2023-24
Azuolas Tubelis,PF,11.17,-,3.50,23.5,30.5,-,2023-24
Tristan Vukcevic,C,11.71,3.16,3.43,26.0,30.5,-,2023-24
Jarace Walker,PF,10.89,-,3.20,34.5,38.0,-,2023-24
Cason Wallace,PG,10.82,-,3.34,28.0,36.0,-,2023-24
Jordan Walsh,SF,10.83,-,3.30,33.0,36.0,-,2023-24
Victor Wembanyama,C,-,-,-,-,-,-,2023-24
Dariq Whitehead,SG,-,-,-,-,-,-,2023-24
Cam Whitmore,SF,10.82,3.33,3.20,31.5,40.5,-,2023-24
Jalen Wilson,SF,11.26,3.15,3.20,31.5,35.0,-,2023-24
Isaiah Wong,SG,10.93,-,3.22,32.5,37.0,-,2023-24
Michael Ajayi,SF,11.77,3.17,3.21,27.0,34.5,-,2024-25
Melvin Ajinca,SF,11.78,3.00,3.38,26.5,31.0,-,2024-25
Trey Alexander,SG,11.37,2.92,3.21,26.5,32.0,-,2024-25
Izan Almansa,C,10.94,2.96,3.11,28.0,35.0,-,2024-25
Reece Beekman,PG,10.86,3.08,2.94,30.0,36.5,-,2024-25
Adem Bona,C,11.01,3.01,3.15,35.0,40.0,-,2024-25
Trevon Brazile,PF,11.15,3.01,3.09,33.0,41.0,-,2024-25
Jalen Bridges,SF,11.14,3.00,3.16,25.0,32.0,-,2024-25
Matas Buzelis,SF,10.73,2.90,3.09,31.0,38.0,-,2024-25
Carlton Carrington,PG,11.28,2.99,3.16,28.5,36.5,-,2024-25
Devin Carter,SG,10.63,2.90,2.87,35.0,42.0,-,2024-25
Stephon Castle,SG,10.93,2.91,3.19,28.5,37.0,-,2024-25
Ulrich Chomche,C,11.74,2.84,3.10,29.0,35.5,-,2024-25
Cam Christie,SG,11.07,2.95,3.07,32.5,35.5,-,2024-25
Nique Clifford,SF,10.95,3.10,3.08,30.0,37.0,-,2024-25
Donovan Clingan,C,12.06,3.38,3.46,25.5,29.0,-,2024-25
Isaiah Collier,PG,10.77,2.90,3.04,30.0,34.0,-,2024-25
Tristan Da Silva,PF,10.81,2.82,3.09,28.5,35.5,-,2024-25
Pacome Dadiet,SF,11.84,2.94,3.21,29.0,36.0,-,2024-25
N'Faly Dante,C,11.55,3.04,3.23,27.0,33.0,-,2024-25
Robert Dillingham,PG,-,-,-,-,-,-,2024-25
Nikola Djurisic,SF,10.63,2.92,3.12,27.5,34.5,-,2024-25
Ryan Dunn,PF,10.99,2.88,3.12,32.0,38.5,-,2024-25
Zach Edey,C,11.19,3.01,3.42,26.0,31.5,-,2024-25
Justin Edwards,SF,12.07,3.22,3.18,28.0,32.5,-,2024-25
Jesse Edwards,C,11.24,3.23,3.33,30.5,35.5,-,2024-25
Boogie Ellis,PG-SG,11.98,3.33,3.19,31.5,39.5,-,2024-25
Kyle Filipowski,PF,11.43,2.93,3.19,27.0,32.5,-,2024-25
Trentyn Flowers,SF,11.01,3.00,3.13,34.5,42.0,-,2024-25
Enrique Freeman,PF,10.99,3.04,3.26,30.5,35.0,-,2024-25
Johnny Furphy,SF,11.15,3.17,3.20,25.5,32.0,-,2024-25
Kyshawn George,SF,11.90,2.91,3.32,27.0,32.0,-,2024-25
Tyon Grant-Foster,SF,-,-,-,-,-,-,2024-25
PJ Hall,C,11.76,3.01,3.35,32.5,39.5,-,2024-25
Coleman Hawkins,PF,12.05,3.21,3.30,24.0,29.5,-,2024-25
Ron Holland II,SF,11.10,2.91,3.10,30.0,38.0,-,2024-25
DaRon Holmes II,C,11.20,3.03,3.25,27.5,34.0,-,2024-25
Ariel Hukporti,C,-,-,-,-,-,-,2024-25
Oso Ighodaro,C,11.25,3.12,3.09,35.0,39.5,-,2024-25
Harrison Ingram,SF,11.36,2.94,3.17,29.0,35.0,-,2024-25
Bronny James,SG,10.96,3.02,3.09,32.0,40.5,-,2024-25
AJ Johnson,SG,10.76,2.87,3.15,29.0,38.0,-,2024-25
Keshad Johnson,PF,11.38,3.02,3.03,31.5,42.0,-,2024-25
Dillon Jones,SF,11.08,2.82,3.25,26.5,33.5,-,2024-25
David Jones,SF,11.08,3.30,3.20,28.0,34.5,-,2024-25
Isaac Jones,C,11.49,3.00,3.38,29.0,35.0,-,2024-25
Alex Karaban,PF,11.23,-,3.20,22.5,32.0,-,2024-25
Bobi Klintman,PF,11.49,3.21,3.23,26.5,32.5,-,2024-25
Dalton Knecht,SF,10.56,2.79,3.07,31.0,39.0,-,2024-25
Tyler Kolek,PG,10.97,3.08,3.27,27.0,34.0,-,2024-25
Pelle Larsson,SG,11.15,2.91,3.06,30.5,38.0,-,2024-25
Jared McCain,SG,10.87,3.07,3.23,25.5,33.0,-,2024-25
Kevin McCullar Jr.,SF,-,-,-,-,-,-,2024-25
Yves Missi,C,11.45,3.12,3.12,31.0,38.5,-,2024-25
Ajay Mitchell,PG,11.12,2.95,3.11,28.0,33.5,-,2024-25
Jonathan Mogbo,PF,11.14,3.07,3.02,31.5,37.5,-,2024-25
Tristen Newton,PG,10.96,2.84,3.24,25.0,32.5,-,2024-25
Juan Nunez,PG,11.47,3.10,3.41,22.0,29.0,-,2024-25
Quinten Post,C,11.48,3.03,3.40,24.0,27.0,-,2024-25
Antonio Reeves,SG,11.44,3.16,3.14,29.0,36.0,-,2024-25
Zaccharie Risacher,SF,11.51,2.97,3.38,25.0,31.0,-,2024-25
Jaxson Robinson,SG,11.39,3.06,3.17,29.5,34.0,-,2024-25
Tidjane Salaun,PF,11.45,3.05,3.37,27.5,32.0,-,2024-25
Hunter Sallis,SG,10.82,3.16,3.11,29.5,36.0,-,2024-25
Payton Sandfort,SF,11.57,2.84,3.43,22.0,28.0,-,2024-25
Alexandre Sarr,C,11.43,3.23,3.27,30.5,37.0,-,2024-25
Baylor Scheierman,SF,10.89,2.94,3.09,27.5,32.0,-,2024-25
Mark Sears,PG,11.96,3.26,3.33,32.0,39.0,-,2024-25
Terrence Shannon Jr.,SF,-,-,-,-,-,-,2024-25
Jamal Shead,PG,10.87,2.87,2.94,30.0,37.5,-,2024-25
Reed Sheppard,PG,10.96,3.03,3.08,32.5,42.0,-,2024-25
KJ Simpson,PG,10.49,2.98,3.24,32.5,40.5,-,2024-25
Tyler Smith,PF,10.74,2.99,3.28,32.0,38.0,-,2024-25
Cam Spencer,SG,11.07,3.00,3.35,23.0,30.5,-,2024-25
Nae'Qwan Tomlin,PF,11.63,3.54,3.43,27.5,32.5,-,2024-25
Nikola Topic,PG,-,-,-,-,-,-,2024-25
JT Toppin,PF,11.12,3.01,3.27,28.5,34.0,-,2024-25
Jaylon Tyson,SF,11.13,3.06,3.12,29.5,36.5,-,2024-25
Ja'Kobe Walter,SG,11.00,2.92,3.04,30.5,38.5,-,2024-25
Kel'el Ware,C,10.97,2.91,3.29,32.5,36.0,-,2024-25
Jamir Watkins,SF,10.64,3.16,3.01,30.5,35.5,-,2024-25
Jaylen Wells,SF,11.28,3.03,3.08,27.5,36.0,-,2024-25
Cody Williams,SF,11.17,2.93,3.06,31.0,35.5,-,2024-25
