Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,LeBron James,20.3,2008-09,24,CLE,81,81,1,37.7,9.7,19.9,8.1,15.2,1.6,4.7,7.3,9.4,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,.489,.535,.344,.780,.591,53.007,F-G,jamesle01
2,LeBron James,19.3,2012-13,28,MIA,76,76,1,37.9,10.1,17.8,8.7,14.5,1.4,3.3,5.3,7.0,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,.565,.602,.406,.753,.640,60.303,F-G,jamesle01
3,Kevin Durant,19.2,2013-14,25,OKC,81,81,1,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,.503,.549,.391,.873,.635,55.983,F-G,duranke01
4,Kevin Durant,18.9,2012-13,24,OKC,81,81,1,38.5,9.0,17.7,7.3,13.6,1.7,4.1,8.4,9.3,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,.510,.539,.416,.905,.647,55.862,F-G,duranke01
5,LeBron James,18.5,2009-10,25,CLE,76,76,1,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,.503,.560,.333,.767,.604,54.483,F-G,jamesle01
6,Kevin Garnett,18.3,2003-04,27,MIN,82,82,1,39.4,9.8,19.6,9.7,19.1,0.1,0.5,4.5,5.7,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,.499,.506,.256,.791,.547,50.248,F-C,garneke01
7,Chris Paul,18.3,2008-09,23,NOH,78,78,1,38.5,8.1,16.1,7.3,13.8,0.8,2.3,5.8,6.7,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,.503,.525,.364,.868,.599,52.829,G,paulch01
8,Stephen Curry,17.9,2015-16,27,GSW,79,79,1,34.2,10.2,20.2,5.1,9.0,5.1,11.2,4.6,5.1,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,.504,.566,.454,.908,.669,62.954,G,curryst01
9,Tim Duncan,17.8,2001-02,25,SAS,82,82,1,40.6,9.3,18.3,9.3,18.2,0.0,0.1,6.8,8.5,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,.508,.511,.100,.799,.576,50.831,F-C,duncati01
10,Chris Paul,17.8,2007-08,22,NOH,80,80,1,37.6,7.9,16.1,6.7,13.0,1.2,3.1,4.2,4.9,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,.488,.516,.369,.851,.576,52.363,G,paulch01
11,Dirk Nowitzki,17.7,2005-06,27,DAL,81,81,1,38.1,9.3,19.3,7.9,16.0,1.4,3.3,6.7,7.4,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,.480,.496,.406,.901,.589,51.535,F-C,nowitdi01
12,Nikola Jokić,17.0,2023-24,28,DEN,79,79,1,34.6,10.4,17.9,9.4,14.9,1.1,2.9,4.5,5.5,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,.583,.626,.359,.817,.650,61.198,C-F,jokicni01
13,Tim Duncan,16.5,2002-03,26,SAS,81,81,1,39.3,8.8,17.2,8.7,16.9,0.1,0.3,5.6,7.8,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,.513,.517,.273,.710,.564,51.509,F-C,duncati01
14,James Harden,16.4,2014-15,25,HOU,81,81,1,36.8,8.0,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,.440,.480,.375,.868,.605,51.088,G,hardeja01
15,Dirk Nowitzki,16.3,2006-07,28,DAL,78,78,1,36.2,8.6,17.2,7.7,15.0,0.9,2.2,6.4,7.1,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,.502,.515,.416,.904,.605,52.871,F-C,nowitdi01
16,LeBron James,16.3,2005-06,21,CLE,79,79,1,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,.480,.518,.335,.738,.568,51.481,F-G,jamesle01
17,Dirk Nowitzki,16.1,2002-03,24,DAL,80,80,1,39.0,8.6,18.6,6.8,13.7,1.9,4.9,6.0,6.9,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,.463,.493,.379,.881,.581,51.310,F-C,nowitdi01
18,Tracy McGrady,16.1,2002-03,23,ORL,75,74,1,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,.457,.481,.386,.793,.564,50.496,G-F,mcgratr01
19,Kevin Garnett,16.1,2004-05,28,MIN,82,82,1,38.1,8.3,16.6,8.3,16.3,0.1,0.3,5.4,6.7,3.0,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,.502,.507,.240,.811,.567,50.441,F-C,garneke01
20,Kevin Durant,16.1,2009-10,21,OKC,82,82,1,39.5,9.7,20.3,8.1,16.1,1.6,4.3,9.2,10.2,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,.476,.506,.365,.900,.607,51.439,F-G,duranke01
21,Chris Paul,16.1,2014-15,29,LAC,82,82,1,34.8,6.9,14.3,5.2,10.0,1.7,4.3,3.5,3.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,.485,.523,.398,.900,.596,54.487,G,paulch01
22,LeBron James,15.9,2013-14,29,MIA,77,77,1,37.7,10.0,17.6,8.5,13.6,1.5,4.0,5.7,7.6,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,.567,.622,.379,.750,.649,60.976,F-G,jamesle01
23,Stephen Curry,15.7,2014-15,26,GSW,80,80,1,32.7,8.2,16.8,4.6,8.7,3.6,8.1,3.9,4.2,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,.487,.528,.443,.914,.638,59.359,G,curryst01
24,Nikola Jokić,15.6,2020-21,25,DEN,72,72,1,34.6,10.2,18.0,8.9,14.7,1.3,3.3,4.8,5.5,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,.566,.606,.388,.868,.647,60.170,C-F,jokicni01
25,Kevin Garnett,15.6,2002-03,26,MIN,82,82,1,40.5,9.1,18.1,8.8,17.2,0.2,0.9,4.6,6.1,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,.502,.513,.282,.751,.553,50.844,F-C,garneke01
26,Dirk Nowitzki,15.6,2004-05,26,DAL,78,78,1,38.7,8.5,18.5,7.3,15.6,1.2,2.9,7.9,9.1,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,.459,.470,.399,.869,.578,49.031,F-C,nowitdi01
27,LeBron James,15.6,2010-11,26,MIA,79,79,1,38.8,9.6,18.8,8.4,15.3,1.2,3.5,6.4,8.4,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,.510,.552,.330,.759,.594,54.141,F-G,jamesle01
28,Chauncey Billups,15.5,2005-06,29,DET,81,81,1,36.1,5.2,12.5,3.0,7.2,2.3,5.2,5.7,6.4,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,.418,.407,.433,.894,.602,50.889,G,billuch01
29,James Harden,15.4,2017-18,28,HOU,72,72,1,35.4,9.0,20.1,5.4,10.1,3.7,10.0,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,.449,.531,.367,.858,.619,54.072,G,hardeja01
30,Kobe Bryant,15.3,2005-06,27,LAL,80,80,1,41.0,12.2,27.2,10.0,20.7,2.3,6.5,8.7,10.2,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,.450,.482,.347,.850,.559,49.149,G-F,bryanko01
31,Nikola Jokić,15.2,2021-22,26,DEN,74,74,1,33.5,10.3,17.7,9.0,13.8,1.3,3.9,5.1,6.3,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,.583,.652,.337,.810,.661,61.976,C-F,jokicni01
32,LeBron James,15.2,2007-08,23,CLE,75,74,1,40.4,10.6,21.9,9.1,17.1,1.5,4.8,7.3,10.3,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,.484,.531,.315,.712,.568,51.797,F-G,jamesle01
33,James Harden,15.2,2018-19,29,HOU,78,78,1,36.8,10.8,24.5,6.0,11.3,4.8,13.2,9.7,11.0,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,.442,.528,.368,.879,.616,54.060,G,hardeja01
34,James Harden,15.0,2016-17,27,HOU,81,81,1,36.4,8.3,18.9,5.1,9.6,3.2,9.3,9.2,10.9,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,.440,.530,.347,.847,.613,52.511,G,hardeja01
35,Shaquille O'Neal,14.9,2000-01,28,LAL,74,74,1,39.5,11.0,19.2,11.0,19.2,0.0,0.0,6.7,13.1,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,.572,.573,.000,.513,.574,57.173,C,onealsh01
36,Nikola Jokić,14.9,2022-23,27,DEN,69,69,1,33.7,9.4,14.8,8.5,12.7,0.8,2.2,4.9,6.0,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,.632,.675,.383,.822,.701,65.998,C-F,jokicni01
37,Kobe Bryant,14.9,2002-03,24,LAL,82,82,1,41.5,10.6,23.5,9.1,19.5,1.5,4.0,7.3,8.7,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,.451,.465,.383,.843,.550,48.337,G-F,bryanko01
38,Kevin Garnett,14.9,2005-06,29,MIN,76,76,1,38.9,8.2,15.7,8.1,15.3,0.1,0.4,5.2,6.4,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,.526,.532,.267,.810,.589,52.897,F-C,garneke01
39,Elton Brand,14.8,2005-06,26,LAC,79,79,1,39.2,9.6,18.2,9.6,18.1,0.0,0.0,5.6,7.2,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,.527,.527,.333,.775,.580,52.718,F-C,brandel01
40,Dwyane Wade,14.7,2008-09,27,MIA,79,79,1,38.6,10.8,22.0,9.7,18.5,1.1,3.5,7.5,9.8,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,.491,.524,.317,.765,.574,51.639,G,wadedw01
41,Pau Gasol,14.7,2010-11,30,LAL,82,82,1,37.0,7.2,13.7,7.2,13.6,0.0,0.0,4.3,5.2,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,.529,.530,.333,.823,.589,52.991,C-F,gasolpa01
42,Shai Gilgeous-Alexander,14.6,2023-24,25,OKC,75,75,1,34.0,10.6,19.8,9.3,16.2,1.3,3.6,7.6,8.7,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,.535,.576,.353,.874,.636,56.725,G,gilgesh01
43,Amar'e Stoudemire,14.6,2007-08,25,PHO,79,79,1,33.9,9.0,15.3,9.0,14.9,0.1,0.4,7.0,8.7,2.3,6.8,9.1,1.5,0.8,2.1,2.2,3.7,25.2,.590,.601,.161,.805,.656,59.166,F-C,stoudam01
44,Amar'e Stoudemire,14.6,2004-05,22,PHO,80,80,1,36.1,9.3,16.7,9.3,16.5,0.0,0.2,7.3,9.9,2.7,6.2,8.9,1.6,1.0,1.6,2.4,3.5,26.0,.559,.564,.188,.733,.617,56.025,F-C,stoudam01
45,Shawn Marion,14.6,2005-06,27,PHO,81,81,1,40.3,8.8,16.9,7.7,13.3,1.2,3.6,3.0,3.7,3.1,8.8,11.8,1.8,2.0,1.7,1.5,2.8,21.8,.525,.577,.331,.809,.591,55.971,F,mariosh01
46,Kevin Durant,14.5,2015-16,27,OKC,72,72,1,35.8,9.7,19.2,7.1,12.5,2.6,6.7,6.2,6.9,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,.505,.569,.387,.898,.634,57.277,F-G,duranke01
47,LeBron James,14.5,2011-12,27,MIA,62,62,1,37.5,10.0,18.9,9.1,16.5,0.9,2.4,6.2,8.1,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,.531,.556,.362,.771,.605,55.432,F-G,jamesle01
48,Dwight Howard,14.4,2010-11,25,ORL,78,78,1,37.6,7.9,13.4,7.9,13.3,0.0,0.1,7.0,11.7,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,.593,.597,.000,.596,.616,59.291,C,howardw01
49,Dwyane Wade,14.4,2005-06,24,MIA,75,75,1,38.6,9.3,18.8,9.1,17.8,0.2,1.0,8.4,10.7,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,.495,.513,.171,.783,.577,49.929,G,wadedw01
50,Giannis Antetokounmpo,14.4,2018-19,24,MIL,72,72,1,32.8,10.0,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,.578,.641,.256,.729,.644,59.904,F-G,antetgi01
51,LeBron James,14.3,2004-05,20,CLE,80,80,1,42.4,9.9,21.1,8.6,17.2,1.4,3.9,6.0,8.0,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,.472,.499,.351,.750,.554,50.416,F-G,jamesle01
52,Kevin Love,14.3,2013-14,25,MIN,77,77,1,36.3,8.4,18.5,6.0,11.9,2.5,6.6,6.8,8.2,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,.457,.502,.376,.821,.591,52.428,F-C,loveke01
53,Russell Westbrook,14.0,2015-16,27,OKC,80,80,1,34.4,8.2,18.1,6.9,13.8,1.3,4.3,5.8,7.2,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,.454,.503,.296,.812,.554,48.927,G,westbru01
54,Anthony Davis,14.0,2014-15,21,NOP,68,68,1,36.1,9.4,17.6,9.4,17.5,0.0,0.2,5.5,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,.535,.540,.083,.805,.591,53.586,F-C,davisan02
55,Karl-Anthony Towns,14.0,2017-18,22,MIN,82,82,1,35.6,7.8,14.3,6.3,10.8,1.5,3.5,4.2,4.9,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,.545,.585,.421,.858,.646,59.642,C-F,townska01
56,LeBron James,14.0,2017-18,33,CLE,82,82,1,36.9,10.5,19.3,8.6,14.3,1.8,5.0,4.7,6.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,.542,.603,.367,.731,.621,58.956,F-G,jamesle01
57,Chris Paul,13.9,2012-13,27,LAC,70,70,1,33.4,5.9,12.2,4.8,8.9,1.1,3.3,4.1,4.6,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,.481,.538,.328,.885,.594,52.570,G,paulch01
58,Pau Gasol,13.9,2008-09,28,LAL,81,81,1,37.0,7.3,12.9,7.3,12.9,0.0,0.0,4.2,5.4,3.2,6.4,9.6,3.5,0.6,1.0,1.9,2.1,18.9,.567,.567,.500,.781,.617,56.699,C-F,gasolpa01
59,Chris Paul,13.9,2010-11,25,NOH,80,80,1,36.0,5.4,11.6,4.5,9.3,0.9,2.3,4.2,4.8,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,.463,.482,.388,.878,.578,50.162,G,paulch01
60,Kobe Bryant,13.8,2007-08,29,LAL,82,82,1,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,.459,.490,.361,.840,.576,50.296,G-F,bryanko01
61,Jimmy Butler,13.8,2016-17,27,CHI,76,75,1,37.0,7.5,16.5,6.3,13.2,1.2,3.3,7.7,8.9,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,.455,.477,.367,.865,.586,49.161,F-G,butleji01
62,Dwight Howard,13.8,2008-09,23,ORL,79,79,1,35.7,7.1,12.4,7.1,12.4,0.0,0.0,6.4,10.7,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6,.572,.573,.000,.594,.600,57.201,C,howardw01
63,Kawhi Leonard,13.7,2015-16,24,SAS,72,72,1,33.1,7.7,15.1,5.9,11.1,1.8,4.0,4.1,4.6,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,.506,.528,.443,.874,.616,56.468,F,leonaka01
64,Ray Allen,13.7,2000-01,25,MIL,82,82,1,38.2,7.7,16.0,5.2,10.3,2.5,5.7,4.2,4.8,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,.480,.506,.433,.888,.610,55.691,G,allenra02
65,LeBron James,13.7,2006-07,22,CLE,78,78,1,40.9,9.9,20.8,8.6,16.8,1.3,4.0,6.3,9.0,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,.476,.513,.319,.698,.552,50.679,F-G,jamesle01
66,Anthony Davis,13.7,2017-18,24,NOP,75,75,1,36.4,10.4,19.5,9.7,17.3,0.7,2.2,6.6,8.0,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,.534,.558,.340,.828,.612,55.233,F-C,davisan02
67,LeBron James,13.6,2015-16,31,CLE,76,76,1,35.6,9.7,18.6,8.6,14.9,1.1,3.7,4.7,6.5,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,.520,.573,.309,.731,.588,55.120,F-G,jamesle01
68,Gilbert Arenas,13.6,2005-06,24,WAS,80,80,1,42.3,9.3,20.9,6.8,14.1,2.5,6.8,8.2,10.0,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,.447,.485,.369,.820,.581,50.689,G,arenagi01
69,Kawhi Leonard,13.6,2016-17,25,SAS,74,74,1,33.4,8.6,17.7,6.6,12.5,2.0,5.2,6.3,7.2,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,.485,.529,.380,.880,.610,54.078,F,leonaka01
70,Elton Brand,13.6,2001-02,22,LAC,80,80,1,37.8,6.7,12.6,6.7,12.6,0.0,0.0,4.9,6.6,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2,18.2,.527,.527,,.742,.586,52.673,F-C,brandel01
71,Chauncey Billups,13.5,2007-08,31,DET,78,78,1,32.3,5.0,11.2,3.3,6.9,1.8,4.4,5.1,5.6,0.5,2.2,2.7,6.8,1.3,0.2,2.1,1.7,17.0,.448,.479,.401,.918,.619,52.623,G,billuch01
72,Brandon Roy,13.5,2008-09,24,POR,78,78,1,37.2,8.1,16.9,7.1,14.1,1.1,2.8,5.3,6.5,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,.480,.501,.377,.824,.573,51.176,G,roybr01
73,Peja Stojaković,13.5,2003-04,26,SAC,81,81,1,40.3,8.2,17.1,5.2,10.3,3.0,6.8,4.9,5.2,1.1,5.1,6.3,2.1,1.3,0.2,1.9,2.0,24.2,.480,.511,.433,.927,.624,56.638,F,stojape01
74,Dirk Nowitzki,13.4,2001-02,23,DAL,76,76,1,38.0,7.9,16.6,6.1,11.9,1.8,4.6,5.8,6.8,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,.477,.508,.397,.853,.599,53.219,F-C,nowitdi01
75,Stephen Curry,13.4,2013-14,25,GSW,78,78,1,36.5,8.4,17.7,5.0,9.8,3.3,7.9,3.9,4.5,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,.471,.509,.424,.885,.610,56.580,G,curryst01
76,James Harden,13.3,2015-16,26,HOU,82,82,1,38.1,8.7,19.7,5.8,11.7,2.9,8.0,8.8,10.2,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,.439,.494,.359,.860,.598,51.206,G,hardeja01
77,Tim Duncan,13.2,2000-01,24,SAS,82,82,1,38.7,8.6,17.1,8.5,16.8,0.1,0.3,5.0,8.1,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,.499,.504,.259,.618,.536,50.178,F-C,duncati01
78,Shaquille O'Neal,13.2,2002-03,30,LAL,67,66,1,37.8,10.4,18.1,10.4,18.1,0.0,0.0,6.7,10.8,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,.574,.574,,.622,.602,57.391,C,onealsh01
79,Shaquille O'Neal,13.2,2001-02,29,LAL,67,66,1,36.1,10.6,18.3,10.6,18.3,0.0,0.0,5.9,10.7,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,.579,.580,.000,.555,.590,57.933,C,onealsh01
80,Dwight Howard,13.2,2009-10,24,ORL,82,82,1,34.7,6.2,10.2,6.2,10.1,0.0,0.1,5.9,10.0,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,.612,.617,.000,.592,.630,61.151,C,howardw01
81,Giannis Antetokounmpo,13.2,2023-24,29,MIL,73,73,1,35.2,11.5,18.8,11.0,17.1,0.5,1.7,7.0,10.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,.611,.645,.274,.657,.649,62.381,F-G,antetgi01
82,James Harden,13.1,2019-20,30,HOU,68,68,1,36.5,9.9,22.3,5.5,9.9,4.4,12.4,10.2,11.8,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,.444,.556,.355,.865,.626,54.260,G,hardeja01
83,Derrick Rose,13.1,2010-11,22,CHI,81,81,1,37.4,8.8,19.7,7.2,15.0,1.6,4.8,5.9,6.9,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,.445,.481,.332,.858,.550,48.528,G,rosede01
84,Tim Duncan,13.1,2003-04,27,SAS,69,68,1,36.6,8.6,17.1,8.6,16.9,0.0,0.2,5.1,8.5,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,.501,.505,.167,.599,.534,50.212,F-C,duncati01
85,Russell Westbrook,13.1,2016-17,28,OKC,81,81,1,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,.425,.459,.343,.845,.554,47.604,G,westbru01
86,Karl Malone,13.1,2000-01,37,UTA,81,81,1,35.7,8.3,16.6,8.2,16.5,0.0,0.1,6.6,8.3,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,.498,.499,.400,.793,.572,49.888,F,malonka01
87,Tim Duncan,13.0,2006-07,30,SAS,80,80,1,34.1,7.7,14.1,7.7,14.0,0.0,0.1,4.5,7.1,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,.546,.550,.111,.637,.579,54.686,F-C,duncati01
88,Kobe Bryant,13.0,2006-07,28,LAL,77,77,1,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,.463,.497,.344,.868,.580,50.171,G-F,bryanko01
89,Shawn Marion,13.0,2002-03,24,PHO,81,81,1,41.6,8.2,18.1,6.4,13.6,1.7,4.5,3.1,3.6,2.5,7.1,9.5,2.4,2.3,1.2,1.9,2.6,21.2,.452,.473,.387,.851,.538,49.966,F,mariosh01
90,Dwyane Wade,13.0,2009-10,28,MIA,77,77,1,36.3,9.3,19.6,8.4,16.5,0.9,3.2,6.9,9.1,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,.476,.509,.300,.761,.562,50.000,G,wadedw01
91,Giannis Antetokounmpo,12.9,2021-22,27,MIL,67,67,1,32.9,10.3,18.6,9.2,15.0,1.1,3.6,8.3,11.4,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,.553,.616,.293,.722,.633,58.193,F-G,antetgi01
92,Vince Carter,12.9,2000-01,24,TOR,75,75,1,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,.460,.477,.408,.765,.551,50.906,G-F,cartevi01
93,LeBron James,12.9,2016-17,32,CLE,74,74,1,37.8,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,.548,.611,.363,.674,.619,59.375,F-G,jamesle01
94,Paul Pierce,12.9,2001-02,24,BOS,82,82,1,40.3,8.6,19.5,6.1,13.1,2.6,6.3,6.3,7.8,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,.442,.461,.404,.809,.570,50.814,F-G,piercpa01
95,Dwight Howard,12.9,2007-08,22,ORL,82,82,1,37.7,7.1,11.9,7.1,11.8,0.0,0.0,6.5,10.9,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,.599,.601,.000,.590,.619,59.856,C,howardw01
96,Dirk Nowitzki,12.9,2007-08,29,DAL,77,77,1,36.0,8.2,17.1,7.2,14.2,1.0,2.9,6.2,7.1,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,.479,.504,.359,.879,.585,50.951,F-C,nowitdi01
97,Kevin Garnett,12.9,2007-08,31,BOS,71,71,1,32.8,7.5,13.9,7.5,13.8,0.0,0.2,3.8,4.7,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,.539,.545,.000,.801,.588,53.939,F-C,garneke01
98,Dwyane Wade,12.8,2010-11,29,MIA,76,76,1,37.1,9.1,18.2,8.3,15.5,0.8,2.7,6.5,8.6,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,.500,.534,.306,.758,.581,52.276,G,wadedw01
