NAME,POS,AGE,SCHOOL/CLUB,HEIGHT,WEIGHT,STATUS,COUNTRY
Melvin Ajinca,F,20,Saint-Quentin Basketball (France),45451,218,International,France
Trey Alexander,G,21,Creighton,45446,187,Junior,USA
Reece Beekman,G,22,Virginia,45444,196,Senior,USA
Adem Bona,C,21,UCLA,45451,243,Sophomore,Nigeria
Jalen Bridges,G,23,Baylor,45450,213,Senior,USA
Matas Buzelis,F,19,G League Ignite,45452,197,G League Ignite,USA
Carlton Carrington,G,18,Pittsburgh,45447,195,Freshman,USA
Devin Carter,G,22,Providence,45445,193,Junior,USA
Stephon Castle,G,19,Connecticut,45449,210,Freshman,USA
Ulrich Chomche,F,18,NBA Academy Africa,45453,232,International,Cameroon
Cam Christie,G,18,Minnesota,45448,190,Freshman,USA
Donovan Clingan,C,20,Connecticut,45475,282,Sophomore,USA
Isaiah Collier,G,19,USC,45446,205,Freshman,USA
Pacome Dadiet,F,18,Ratiopharm Ulm (Germany),45450,187,International,France
N'Faly Dante,C,22,Oregon,45453,260,Senior,Mali
Rob Dillingham,G,19,Kentucky,45444,164,Freshman,USA
Nikola Djurisic,F,20,KK Mega Basket (Serbia),45450,209,International,Serbia
Ryan Dunn,G,21,Virginia,45449,214,Sophomore,USA
Zach Edey,C,22,Purdue,45477,299,Senior,Canada
Justin Edwards,F,20,Kentucky,45449,209,Freshman,USA
Jesse Edwards,C,24,West Virginia,45454,236,Senior,Netherlands
Kwame Evans,F,19,Oregon,45452,220,Freshman,USA
Kyle Filipowski,F,20,Duke,45454,230,Sophomore,USA
Trentyn Flowers,F,19,Adelaide 36ers (NBL),45450,201,International,USA
Enrique Freeman,F,23,Akron,45450,212,Senior,USA
Johnny Furphy,G,19,Kansas,45451,189,Freshman,Australia
Kyshawn George,F,20,Miami,45450,209,Freshman,Switzerland
Tyon Grant-Foster,F,24,Grand Canyon,45449,215,Junior,USA
PJ Hall,F,22,Clemson,45451,240,Senior,USA
Blake Hinson,F,24,Pittsburgh,45451,230,Senior,USA
Ron Holland II,F,19,G League Ignite,45450,197,G League Ignite,USA
DaRon Holmes II,F,21,Dayton,45452,236,Junior,USA
Ariel Hukporti,C,22,MHP Riesen (Germany),45454,246,International,Germany
Oso Ighodaro,C,21,Marquette,45453,222,Junior,USA
Harrison Ingram,F,21,North Carolina,45448,234,Junior,USA
Bronny James,G,19,USC,45445,210,Freshman,USA
AJ Johnson,G,19,Illawarra (Australia),45447,167,International,USA
Keshad Johnson,F,23,Arizona,45449,224,Senior,USA
David Jones,F,22,Memphis,45446,211,Senior,Dominican Republic
Isaac Jones,C,24,Washington State,45451,235,Senior,USA
Dillon Jones,G,22,Weber State,45448,237,Senior,USA
Bobi Klintman,F,21,Cairns (Australia),45452,212,International,Sweden
Dalton Knecht,G,23,Tennessee,45448,212,Senior,USA
Tyler Kolek,G,23,Marquette,45444,197,Junior,USA
Pelle Larsson,G,23,Arizona,45448,212,Senior,Sweden
Jared McCain,G,20,Duke,45445,203,Freshman,USA
Kevin McCullar Jr.,G,23,Kansas,45448,206,Senior,USA
Judah Mintz,G,21,Syracuse,45447,185,Sophomore,USA
Yves Missi,C,20,Baylor,45454,229,Freshman,Cameroon
Ajay Mitchell,G,22,UC Santa Barbara,45446,197,Junior,Belgium
Jonathan Mogbo,F,22,San Francisco,45449,217,Junior,USA
Grant Nelson,F,22,Alabama,45454,230,Senior,USA
Tristen Newton,G,23,Connecticut,45446,192,Senior,USA
Juan Nunez,G,20,Ratiopharm Ulm (Germany),45447,190,International,Spain
Quinten Post,C,24,Boston College,36708,244,Senior,Netherlands
Zyon Pullin,G,23,Florida,45447,206,Senior,USA
Antonio Reeves,G,23,Kentucky,45448,187,Senior,USA
Zaccharie Risacher,F,19,JL Bourg-en-Bresse (France),45452,215,International,France
Mantas Rubstavicius,G,22,New Zealand Breakers,45449,196,International,Lithuania
Tidjane Salaun,F,18,Cholet Basket (France),45452,207,International,France
Alexandre Sarr,F,19,Perth (Australia),36708,224,International,France
Baylor Scheierman,G,23,Creighton,45449,202,Senior,USA
Terrence Shannon Jr.,F,23,Illinois,45449,219,Senior,USA
Jamal Shead,G,21,Houston,36678,201,Senior,USA
Reed Sheppard,G,20,Kentucky,45445,182,Freshman,USA
KJ Simpson,G,21,Colorado,36678,187,Junior,USA
Tyler Smith,F,19,G League Ignite,45452,224,G League Ignite,USA
Cam Spencer,G,24,Connecticut,45446,202,Senior,USA
Nae’qwan Tomlin,F,23,Memphis,45451,205,Senior,USA
Nikola Topic,G,18,KK Crvena Zvezda (Serbia),45449,190,International,Serbia
Jaylon Tyson,F,21,California,45449,218,Junior,USA
DJ Wagner,G,19,Kentucky,45447,192,Freshman,USA
Ja’Kobe Walter,G,19,Baylor,45447,198,Freshman,USA
Kel'el Ware,C,20,Indiana,36708,230,Sophomore,USA
Anton Watson,F,23,Gonzaga,45451,230,Senior,USA
Jaylen Wells,F,20,Washington State,45450,206,Junior,USA
Cody Williams,F,19,Colorado,45450,178,Freshman,USA
Tristan da Silva,F,23,Colorado,45451,217,Senior,Germany