Player,Pos,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%
AJ Johnson,G,0.8,0.3,0.3,0.3,1.0,0.7,0.2,0.1,0.6,0.8,2.8,0.36
Adem Bona,F,3.2,0.0,1.4,2.2,3.0,0.7,0.6,1.7,1.3,3.3,7.7,0.68
Ajay Mitchell,G,5.1,0.6,4.5,0.3,2.4,5.1,1.3,0.3,2.2,2.0,16.3,0.51
Alexandre Sarr,F,3.1,0.6,1.7,1.4,3.0,0.9,0.5,1.3,1.1,1.4,9.7,0.52
Anton Watson,F,3.62,0.32,1.78,1.72,3.6,2.02,1.45,0.57,1.15,2.35,9.95,0.59
Antonio Reeves,G,3.6,2.45,2.75,0.55,2.55,1.35,0.55,0.2,1.35,1.95,17.3,0.46
Ariel Hukporti,C,3.0,0.0,1.7,1.9,4.2,0.7,0.6,1.4,1.5,2.8,7.8,0.56
Baylor Scheierman,G,2.77,2.63,2.43,0.7,7.63,3.9,1.07,0.13,2.1,1.93,15.83,0.46
Blake Hinson,G,1.8,2.05,1.9,1.05,3.4,1.15,0.55,0.4,1.3,2.85,11.8,0.42
Bobi Klintman,F,1.9,1.3,2.0,0.7,4.1,0.7,0.8,0.5,1.6,2.7,9.7,0.44
Cam Spencer,G,2.4,2.5,2.1,1.1,3.8,3.6,1.5,0.3,1.0,2.2,14.3,0.48
Cody Williams,F,3.8,0.7,2.3,0.7,2.3,1.6,0.6,0.7,2.0,2.0,11.9,0.55
DaRon Holmes II,F,5.6,1.0,6.2,1.7,6.8,2.6,0.9,2.1,2.2,2.0,20.4,0.54
Dalton Knecht,G,4.8,2.6,4.4,0.8,4.1,1.8,0.7,0.6,1.7,1.8,21.7,0.46
Devin Carter,G,3.2,1.1,3.4,1.2,3.7,2.5,1.8,1.1,1.6,2.1,13.0,0.43
Donovan Clingan,C,4.1,0.05,1.75,2.35,4.15,1.0,0.45,2.15,0.9,1.95,9.95,0.65
Enrique Freeman,F,5.6,0.3,3.8,3.45,8.45,1.5,0.65,1.4,2.2,2.85,15.9,0.62
Grant Nelson,F,3.1,0.8,3.3,1.6,4.3,1.5,0.6,1.6,1.4,3.1,11.9,0.49
Harrison Ingram,F,2.6,1.8,1.6,2.6,6.2,2.2,1.4,0.4,1.4,1.9,12.2,0.43
Isaac Jones,F,5.7,0.0,3.9,2.3,5.3,1.5,0.5,1.1,1.9,2.0,15.3,0.57
Jalen Bridges,F,1.9,1.4,1.5,2.03,2.97,0.9,0.83,0.67,0.87,1.8,9.47,0.49
Jamal Shead,G,3.0,1.1,1.77,0.67,2.57,5.83,1.83,0.3,2.03,2.2,11.13,0.41
Jared McCain,G,2.4,2.4,2.1,0.8,4.2,1.9,1.1,0.1,1.3,1.6,14.3,0.46
Jaylen Wells,F,2.0,2.1,2.3,1.2,3.4,1.2,0.5,0.2,0.7,1.9,12.6,0.44
Johnny Furphy,G,1.6,1.3,1.9,1.3,3.6,1.0,0.9,0.3,0.8,2.1,9.0,0.47
Justin Edwards,G,2.3,1.0,1.2,1.2,2.2,0.9,0.9,0.2,0.8,2.2,8.8,0.49
KJ Simpson,G,4.4,2.1,4.4,0.8,5.1,4.9,1.6,0.1,2.2,2.5,19.7,0.48
Keshad Johnson,F,2.4,0.45,1.5,1.45,3.28,1.05,0.62,0.57,1.02,1.45,7.6,0.52
Kevin McCullar Jr.,G,3.22,1.02,3.0,1.1,4.88,2.92,1.65,0.52,2.02,2.65,12.38,0.43
Kyle Filipowski,C,4.65,1.05,3.35,2.35,6.3,2.2,1.2,1.1,2.3,2.8,15.75,0.47
Melvin Ajinca,F,1.4,1.6,1.7,1.0,2.3,0.8,0.5,0.0,0.6,2.2,9.3,0.38
N'Faly Dante,C,7.0,0.0,3.1,2.8,6.4,1.6,1.7,1.9,2.4,2.1,17.0,0.7
Nikola Djurisic,F,3.0,0.9,2.8,0.4,2.1,3.0,0.9,0.2,2.7,2.6,11.5,0.43
Nikola Topic,G,3.0,0.6,2.2,0.5,1.8,4.1,0.6,0.1,2.0,2.5,10.2,0.5
Oso Ighodaro,F,4.3,0.0,1.53,1.9,3.53,2.37,0.87,1.23,1.4,2.2,10.1,0.64
PJ Hall,F,5.2,1.4,3.5,1.6,4.8,1.4,0.8,1.4,1.9,3.1,18.3,0.49
Pacome Dadiet,F,1.2,0.5,0.7,0.4,0.8,0.3,0.5,0.2,0.7,1.3,4.6,0.45
Pelle Larsson,G,2.27,1.03,2.4,0.93,3.0,2.87,0.83,0.2,1.7,2.47,9.97,0.49
Reece Beekman,G,2.7,0.7,2.0,0.37,2.8,4.83,1.67,0.47,1.63,1.47,9.5,0.41
Reed Sheppard,G,2.0,2.3,1.6,0.4,3.8,4.5,2.5,0.7,2.0,1.9,12.5,0.54
Rob Dillingham,G,3.4,2.0,2.4,0.3,2.7,3.9,1.0,0.1,2.0,2.6,15.2,0.48
Ryan Dunn,G,3.1,0.2,1.2,2.2,4.7,0.8,1.3,2.3,0.8,2.1,8.1,0.55
Stephon Castle,G,3.4,0.6,2.4,1.7,3.0,2.9,0.8,0.5,1.5,2.4,11.1,0.47
Terrence Shannon Jr.,G,3.32,1.6,4.42,0.9,2.88,2.12,1.05,0.42,2.0,2.0,15.88,0.46
Tidjane Salaun,F,1.4,1.3,1.6,1.3,2.6,0.9,1.1,0.2,1.4,2.4,8.2,0.37
Trey Alexander,G,3.23,1.37,2.3,0.37,4.2,3.27,0.97,0.4,1.93,1.77,12.87,0.44
Tristen Newton,G,2.2,1.5,3.8,1.3,4.25,5.45,1.0,0.3,2.45,1.95,12.6,0.39
Tyler Kolek,G,2.83,1.3,2.07,0.67,3.6,7.03,1.6,0.13,2.63,1.6,11.63,0.43
Tyler Smith,F,3.92,0.4,3.4,1.82,3.58,2.92,1.08,0.45,1.68,2.4,12.58,0.52
Tyon Grant-Foster,G,4.8,1.5,6.2,1.3,4.8,1.6,1.7,1.5,2.5,2.3,20.1,0.45
Yves Missi,F,4.1,0.0,2.5,2.6,3.0,0.4,0.6,1.5,1.1,2.4,10.7,0.61
Zaccharie Risacher,F,1.6,1.0,1.2,0.9,1.9,0.8,0.7,0.3,1.1,2.1,7.4,0.48
Zach Edey,C,6.5,0.0,4.62,3.75,5.52,1.27,0.2,1.65,1.92,1.95,17.65,0.62
Zyon Pullin,G,3.7,1.1,4.9,0.7,3.2,4.9,0.9,0.1,1.3,2.0,15.5,0.44
